Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating
Germany,3728,1,18,Onshore,0,2014,WPD,24462000,6.45,,,0.90679872,0.845330298,2.169498929,73.82303,21
United Kingdom,302,1,138,Onshore,0,2010,Fred Olsen Renewables AB,187542000,7.853333333,,,2.502840519,-0.361241519,2.233315126,75.86023,21
Italy,3985,0,17,Onshore,0,2012,Aren Electric Power SPA,23103000,5.466666667,,,3.041360378,7.027999878,-3.125238795,125.8705,16
Germany,5944,0,10,Onshore,0,2011,Geo MBH,13590000,7.473333333,,,2.075176716,3.075814486,3.757968866,77.84923,21
Italy,4895,0,13,Onshore,0,2002,E2I Energie Speciali SRL,17667000,5.8,,,2.465317011,0.270205379,0.26992962,105.9475,19
United Kingdom,711,1,62.5,Onshore,0,2004,Fred Olsen Renewables AB,84937500,8.05,,,1.434167027,2.115386009,2.457904411,39.80162,21
Italy,3181,0,21,Onshore,0,2021,PLT Energia SRL,28539000,4.076666667,,,1.873783,14.08469,8.931062066,145.7347,14
France,4563,0,14,Onshore,0,2016,Engie,19026000,5.853333333,,,0.183335871,-0.11499691,0.860031082,98.02478,19
Spain,1082,0,49,Onshore,0,2010,SachsenFonds; Aviva Investors,66591000,5.033333333,,,1.799884915,3.527857542,0.094122317,60.26603,20
Romania,426,1,100,Onshore,0,2012,Verbund,135900000,3.933333333,,,3.337636948,6.9,1.903616968,35.37141,12
Italy,839,0,54,Onshore,0,2009,Fri-El SPA,73386000,5.203333333,,,0.774766505,-0.124860622,-5.305154033,116.1213,17
France,5695,1,10.4,Onshore,0,2019,Engie,14133600,7.046666667,,,1.299999952,1.744135022,2.027446476,97.88586,19
Germany,1427,1,41,Onshore,0,2012,Wind-Projekt,55719000,6.926666667,,,2.008486986,2.23366785,0.474291306,79.15729,21
Germany,6099,0,10,Onshore,0,2006,WestWind Energy PTY LTD,13590000,6.913333333,,,1.577432156,2.939437389,3.855736152,65.75402,21
United Kingdom,4257,0,15.3,Onshore,0,2014,JLEN Environmental Assets Group,20792700,8.62,,,1.425663471,1.997074246,3.194637313,87.09433,21
Poland,3176,0,21,Onshore,0,2022,MEAG MUNICH ERGO Asset Management GMBH,28539000,6.39,,,14.3,29.09904934,5.255456974,49.1991,15
Germany,2849,0,24,Onshore,0,2006,ABO Wind,32616000,6.766666667,,,1.577432156,2.939437389,3.855736152,65.75402,21
Russia,728,0,60,Onshore,0,2023,JSC VetroOGK,81540000,6.9,,,5.859,0,3.6,19.5459,2
Spain,111,0,329.2,Onshore,0,2022,Enlight Renewable Energy,447382800,5.67,,,8.390576,29.4164652,6.179312226,109.4039,16
Norway,697,0,65,Onshore,1,2008,Statkraft AS,88335000,6.306666667,,,3.753922939,6.826536655,0.481919541,47.54502,21
