Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating,Project Description
Germany,3728,1,18,Onshore,0,2014,WPD,24462000,6.45,,,0.90679872,0.845330298,2.169498929,73.82303,21,"Evaluate the probability of success for a 18.0 MW Onshore wind farm in Germany. It is a multi phase project beginning in 2014, with a cost of 24462000.0 GBP and is owned by WPD. The project is onshore, and the average annual wind speed is 6.450 m/s. Germany has a credit rating of 21/21, with a GDP growth of 2.169% and 73.823% of its GDP in debt. The inflation rate is 0.907 and the energy inflation rate is 0.845."
United Kingdom,302,1,138,Onshore,0,2010,Fred Olsen Renewables AB,187542000,7.853333333,,,2.502840519,-0.361241519,2.233315126,75.86023,21,"Evaluate the probability of success for a 138.0 MW Onshore wind farm in United Kingdom. It is a multi phase project beginning in 2010, with a cost of 187542000.0 GBP and is owned by Fred Olsen Renewables AB. The project is onshore, and the average annual wind speed is 7.853 m/s. United Kingdom has a credit rating of 21/21, with a GDP growth of 2.233% and 75.860% of its GDP in debt. The inflation rate is 2.503 and the energy inflation rate is -0.361."
Italy,3985,0,17,Onshore,0,2012,Aren Electric Power SPA,23103000,5.466666667,,,3.041360378,7.027999878,-3.125238795,125.8705,16,"Evaluate the probability of success for a 17.0 MW Onshore wind farm in Italy. It is a single phase project beginning in 2012, with a cost of 23103000.0 GBP and is owned by Aren Electric Power SPA. The project is onshore, and the average annual wind speed is 5.467 m/s. Italy has a credit rating of 16/21, with a GDP growth of -3.125% and 125.871% of its GDP in debt. The inflation rate is 3.041 and the energy inflation rate is 7.028."
Germany,5944,0,10,Onshore,0,2011,Geo MBH,13590000,7.473333333,,,2.075176716,3.075814486,3.757968866,77.84923,21,"Evaluate the probability of success for a 10.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2011, with a cost of 13590000.0 GBP and is owned by Geo MBH. The project is onshore, and the average annual wind speed is 7.473 m/s. Germany has a credit rating of 21/21, with a GDP growth of 3.758% and 77.849% of its GDP in debt. The inflation rate is 2.075 and the energy inflation rate is 3.076."
Italy,4895,0,13,Onshore,0,2002,E2I Energie Speciali SRL,17667000,5.8,,,2.465317011,0.270205379,0.26992962,105.9475,19,"Evaluate the probability of success for a 13.0 MW Onshore wind farm in Italy. It is a single phase project beginning in 2002, with a cost of 17667000.0 GBP and is owned by E2I Energie Speciali SRL. The project is onshore, and the average annual wind speed is 5.800 m/s. Italy has a credit rating of 19/21, with a GDP growth of 0.270% and 105.948% of its GDP in debt. The inflation rate is 2.465 and the energy inflation rate is 0.270."
United Kingdom,711,1,62.5,Onshore,0,2004,Fred Olsen Renewables AB,84937500,8.05,,,1.434167027,2.115386009,2.457904411,39.80162,21,"Evaluate the probability of success for a 62.5 MW Onshore wind farm in United Kingdom. It is a multi phase project beginning in 2004, with a cost of 84937500.0 GBP and is owned by Fred Olsen Renewables AB. The project is onshore, and the average annual wind speed is 8.050 m/s. United Kingdom has a credit rating of 21/21, with a GDP growth of 2.458% and 39.802% of its GDP in debt. The inflation rate is 1.434 and the energy inflation rate is 2.115."
Italy,3181,0,21,Onshore,0,2021,PLT Energia SRL,28539000,4.076666667,,,1.873783,14.08469,8.931062066,145.7347,14,"Evaluate the probability of success for a 21.0 MW Onshore wind farm in Italy. It is a single phase project beginning in 2021, with a cost of 28539000.0 GBP and is owned by PLT Energia SRL. The project is onshore, and the average annual wind speed is 4.077 m/s. Italy has a credit rating of 14/21, with a GDP growth of 8.931% and 145.735% of its GDP in debt. The inflation rate is 1.874 and the energy inflation rate is 14.085."
France,4563,0,14,Onshore,0,2016,Engie,19026000,5.853333333,,,0.183335871,-0.11499691,0.860031082,98.02478,19,"Evaluate the probability of success for a 14.0 MW Onshore wind farm in France. It is a single phase project beginning in 2016, with a cost of 19026000.0 GBP and is owned by Engie. The project is onshore, and the average annual wind speed is 5.853 m/s. France has a credit rating of 19/21, with a GDP growth of 0.860% and 98.025% of its GDP in debt. The inflation rate is 0.183 and the energy inflation rate is -0.115."
Spain,1082,0,49,Onshore,0,2010,SachsenFonds; Aviva Investors,66591000,5.033333333,,,1.799884915,3.527857542,0.094122317,60.26603,20,"Evaluate the probability of success for a 49.0 MW Onshore wind farm in Spain. It is a single phase project beginning in 2010, with a cost of 66591000.0 GBP and is owned by SachsenFonds and  Aviva Investors. The project is onshore, and the average annual wind speed is 5.033 m/s. Spain has a credit rating of 20/21, with a GDP growth of 0.094% and 60.266% of its GDP in debt. The inflation rate is 1.800 and the energy inflation rate is 3.528."
Romania,426,1,100,Onshore,0,2012,Verbund,135900000,3.933333333,,,3.337636948,6.9,1.903616968,35.37141,12,"Evaluate the probability of success for a 100.0 MW Onshore wind farm in Romania. It is a multi phase project beginning in 2012, with a cost of 135900000.0 GBP and is owned by Verbund. The project is onshore, and the average annual wind speed is 3.933 m/s. Romania has a credit rating of 12/21, with a GDP growth of 1.904% and 35.371% of its GDP in debt. The inflation rate is 3.338 and the energy inflation rate is 6.900."
Italy,839,0,54,Onshore,0,2009,Fri-El SPA,73386000,5.203333333,,,0.774766505,-0.124860622,-5.305154033,116.1213,17,"Evaluate the probability of success for a 54.0 MW Onshore wind farm in Italy. It is a single phase project beginning in 2009, with a cost of 73386000.0 GBP and is owned by Fri-El SPA. The project is onshore, and the average annual wind speed is 5.203 m/s. Italy has a credit rating of 17/21, with a GDP growth of -5.305% and 116.121% of its GDP in debt. The inflation rate is 0.775 and the energy inflation rate is -0.125."
France,5695,1,10.4,Onshore,0,2019,Engie,14133600,7.046666667,,,1.299999952,1.744135022,2.027446476,97.88586,19,"Evaluate the probability of success for a 10.4 MW Onshore wind farm in France. It is a multi phase project beginning in 2019, with a cost of 14133600.0 GBP and is owned by Engie. The project is onshore, and the average annual wind speed is 7.047 m/s. France has a credit rating of 19/21, with a GDP growth of 2.027% and 97.886% of its GDP in debt. The inflation rate is 1.300 and the energy inflation rate is 1.744."
Germany,1427,1,41,Onshore,0,2012,Wind-Projekt,55719000,6.926666667,,,2.008486986,2.23366785,0.474291306,79.15729,21,"Evaluate the probability of success for a 41.0 MW Onshore wind farm in Germany. It is a multi phase project beginning in 2012, with a cost of 55719000.0 GBP and is owned by Wind-Projekt. The project is onshore, and the average annual wind speed is 6.927 m/s. Germany has a credit rating of 21/21, with a GDP growth of 0.474% and 79.157% of its GDP in debt. The inflation rate is 2.008 and the energy inflation rate is 2.234."
Germany,6099,0,10,Onshore,0,2006,WestWind Energy PTY LTD,13590000,6.913333333,,,1.577432156,2.939437389,3.855736152,65.75402,21,"Evaluate the probability of success for a 10.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2006, with a cost of 13590000.0 GBP and is owned by WestWind Energy PTY LTD. The project is onshore, and the average annual wind speed is 6.913 m/s. Germany has a credit rating of 21/21, with a GDP growth of 3.856% and 65.754% of its GDP in debt. The inflation rate is 1.577 and the energy inflation rate is 2.939."
United Kingdom,4257,0,15.3,Onshore,0,2014,JLEN Environmental Assets Group,20792700,8.62,,,1.425663471,1.997074246,3.194637313,87.09433,21,"Evaluate the probability of success for a 15.3 MW Onshore wind farm in United Kingdom. It is a single phase project beginning in 2014, with a cost of 20792700.0 GBP and is owned by JLEN Environmental Assets Group. The project is onshore, and the average annual wind speed is 8.620 m/s. United Kingdom has a credit rating of 21/21, with a GDP growth of 3.195% and 87.094% of its GDP in debt. The inflation rate is 1.426 and the energy inflation rate is 1.997."
Poland,3176,0,21,Onshore,0,2022,MEAG MUNICH ERGO Asset Management GMBH,28539000,6.39,,,14.3,29.09904934,5.255456974,49.1991,15,"Evaluate the probability of success for a 21.0 MW Onshore wind farm in Poland. It is a single phase project beginning in 2022, with a cost of 28539000.0 GBP and is owned by MEAG MUNICH ERGO Asset Management GMBH. The project is onshore, and the average annual wind speed is 6.390 m/s. Poland has a credit rating of 15/21, with a GDP growth of 5.255% and 49.199% of its GDP in debt. The inflation rate is 14.300 and the energy inflation rate is 29.099."
