Agency,Rating,Outlook,Date
S&P,A-,Positive,May 10 2024
Moody's,Baa1,Stable,Jan 19 2024
S&P,BBB+,Positive,May 12 2023
S&P,BBB+,Stable,Jul 15 2022
Moody's,Baa2,Stable,Feb 04 2022
S&P,BBB,Positive,Jan 14 2022
S&P,BBB,Stable,Apr 24 2020
S&P,BBB,Positive,Jul 19 2019
S&P,BBB,Stable,Jul 28 2017
S&P,BBB-,Stable,Jul 29 2016
S&P,BBB-,Negative,Jun 24 2015
S&P,BBB-,Negative Watch,Mar 27 2015
S&P,BBB,Negative Watch,Mar 12 2015
S&P,BBB+,Stable,Oct 03 2014
S&P,A-,Negative,Dec 03 2012
S&P,A,Negative,Jun 14 2010
S&P,A+,Stable,May 26 2009
S&P,AA-,Negative,Aug 12 2008
S&P,AA,Negative,Aug 16 2007
S&P,AA,Stable,Aug 11 2004
S&P,AA-,Stable,May 06 2003
