Agency,Rating,Outlook,Date
S&P,BBB,Positive,Nov 24 2023
Moody's,Baa1,Stable,Oct 09 2020
S&P,BBB,Stable,May 29 2020
S&P,BBB,Positive,Nov 29 2019
Moody's,Baa2,Positive,Aug 30 2019
S&P,BBB-,Positive,Jun 01 2018
S&P,BBB-,Stable,Dec 01 2017
S&P,BB+,Positive,Jun 02 2017
S&P,BB+,Stable,Dec 12 2014
S&P,BBB-,Stable,Jun 13 2014
S&P,BBB,Negative,Dec 13 2013
Moody's,Baa2,Stable,Jul 22 2011
Moody's,Baa3,Positive Watch,Apr 05 2011
S&P,BBB,Stable,Dec 01 2009
S&P,BBB,Negative,Oct 30 2008
S&P,BBB+,Negative Watch,Oct 23 2008
S&P,BBB+,Stable,Oct 26 2006
Moody's,Baa3,Stable,Mar 01 2006
Moody's,Ba1,Positive Watch,Dec 21 2005
S&P,BBB,Positive,Oct 27 2005
S&P,BBB-,Positive,Feb 10 2005
Moody's,Ba1,Stable,Nov 17 2004
Moody's,Ba2,Positive Watch,Aug 25 2004
S&P,BBB-,Stable,Jun 24 2004
Moody's,Ba2,Positive,Jun 05 2003
S&P,BB+,Stable,May 22 2003
Moody's,B1,Positive,Dec 16 2002
S&P,BB,Positive,Oct 07 2002
Moody's,B1,Stable,Dec 19 2001
S&P,BB-,Stable,Nov 07 2001
S&P,B+,Positive,May 10 2000
S&P,B,Positive,Nov 23 1998
Moody's,B2,Stable,Dec 26 1997
Moody's,B3,Stable,Sep 27 1996
