Agency,Rating,Outlook,Date
Moody's,A3,Stable,Nov 08 2024
S&P,A-,Positive,Sep 13 2024
Moody's,Baa2,Positive,Nov 10 2023
S&P,BBB+,Positive,Sep 15 2023
Moody's,Baa2,Stable,Jul 15 2022
S&P,BBB+,Stable,Jul 14 2022
Moody's,Ba1,Under Review,Jun 24 2022
Moody's,Ba1,Stable,Nov 13 2020
Moody's,Ba2,Positive,Apr 26 2019
S&P,BBB-,Stable,Mar 22 2019
S&P,BB+,Positive,Sep 21 2018
S&P,BB+,Stable,Mar 23 2018
S&P,BB,Positive,Sep 22 2017
Moody's,Ba2,Stable,Mar 10 2017
S&P,BB,Stable,Dec 16 2016
Moody's,Ba2,Negative,Mar 11 2016
S&P,BB,Negative,Jul 17 2015
Moody's,Ba1,Negative,Mar 21 2014
S&P,BB,Stable,Jan 24 2014
S&P,BB+,Negative,Aug 02 2013
Moody's,Ba1,Stable,Feb 01 2013
S&P,BB+,Stable,Dec 14 2012
Moody's,Baa3,Negative,May 31 2012
S&P,BBB-,Negative,Dec 21 2010
Moody's,Baa3,Stable,Nov 19 2008
S&P,BBB,Negative,Oct 27 2008
Moody's,Baa3,Positive,Jul 18 2007
S&P,BBB,Stable,Dec 22 2004
S&P,BBB-,Positive,Jun 23 2004
Moody's,Baa3,Stable,Jan 14 2002
S&P,BBB-,Stable,Feb 09 2001
Moody's,Baa3,Negative,Jun 11 1999
S&P,BBB-,Negative,Jun 03 1999
Moody's,Baa3,Stable,Jan 27 1997
S&P,BBB-,Stable,Jan 17 1997
