Agency,Rating,Outlook,Date
S&P,A-,Stable,Dec 13 2024
Moody's,A3,Stable,Nov 22 2024
DBRS,BBB (high),Positive,Sep 20 2024
S&P,BBB+,Positive,Jun 14 2024
Moody's,Baa2,Positive,May 24 2024
Moody's,Baa2,Stable,Sep 29 2023
DBRS,BBB (high),Stable,Sep 29 2023
S&P,BBB,Positive,Sep 01 2023
S&P,BBB,Stable,Sep 02 2022
Moody's,Ba1,Positive,Aug 19 2022
DBRS,BBB,Stable,Apr 08 2022
DBRS,BBB (low),Positive,Oct 22 2021
S&P,BBB-,Positive,Sep 03 2021
Moody's,Ba1,Stable,Jul 23 2021
DBRS,BBB (low),Stable,May 15 2020
DBRS,BBB (low),Positive,Nov 15 2019
Moody's,Ba2,Positive,Sep 20 2019
DBRS,BBB (low),Stable,Nov 23 2018
S&P,BBB-,Stable,Sep 14 2018
Moody's,Ba2,Stable,Jul 27 2018
DBRS,BB,Positive,May 25 2018
DBRS,BB (low),Positive,Dec 01 2017
S&P,BB+,Positive,Sep 15 2017
Moody's,Ba3,Positive,Jul 28 2017
DBRS,BB (low),Stable,Jun 02 2017
S&P,BB+,Stable,Mar 17 2017
DBRS,B,Positive,Dec 02 2016
Moody's,B1,Positive,Nov 11 2016
S&P,BB,Positive,Sep 16 2016
DBRS,B,Stable,Dec 04 2015
Moody's,B1,Stable,Nov 13 2015
S&P,BB-,Positive,Sep 25 2015
S&P,B+,Positive,Mar 27 2015
Moody's,B3,Stable,Nov 14 2014
S&P,B+,Stable,Oct 24 2014
DBRS,B (low),Stable,Jun 27 2014
S&P,B,Positive,Apr 25 2014
Moody's,Caa3,Positive,Mar 21 2014
S&P,B-,Stable,Nov 29 2013
DBRS,CCC,Negative,Jul 12 2013
S&P,CCC+,Stable,Jul 03 2013
S&P,SD,N/A,Jun 28 2013
S&P,CCC,Stable,Apr 10 2013
S&P,CCC,Negative,Mar 21 2013
Moody's,Caa3,Negative,Jan 10 2013
S&P,CCC+,Negative,Dec 20 2012
Moody's,B3,Negative Watch,Nov 16 2012
S&P,B,Negative Watch,Oct 17 2012
Moody's,B3,Negative,Oct 08 2012
S&P,BB,Negative Watch,Aug 01 2012
Moody's,Ba3,Negative Watch,Jun 13 2012
Moody's,Ba1,Negative,Mar 13 2012
S&P,BB+,Negative,Jan 13 2012
Moody's,Baa3,Negative Watch,Nov 04 2011
S&P,BBB,Negative Watch,Oct 27 2011
S&P,BBB+,Negative Watch,Aug 12 2011
S&P,BBB+,Negative,Jul 29 2011
Moody's,Baa1,Negative,Jul 27 2011
Moody's,A2,Negative Watch,May 16 2011
S&P,A-,Negative,Mar 30 2011
Moody's,A2,Stable,Feb 24 2011
Moody's,Aa3,Negative Watch,Jan 13 2011
S&P,A,Negative,Nov 16 2010
S&P,A+,Negative Watch,Jul 21 2010
S&P,A+,Stable,Apr 24 2008
Moody's,Aa3,Stable,Jan 03 2008
Moody's,A1,Stable,Jul 10 2007
Moody's,A2,Positive Watch,May 17 2007
S&P,A,Positive,Mar 29 2007
Moody's,A2,Stable,Mar 12 2001
Moody's,A2,Negative,May 30 2000
S&P,A,Stable,Dec 03 1999
S&P,A+,Stable,Nov 09 1998
Moody's,A2,Stable,Feb 28 1996
S&P,AA-,Stable,Feb 14 1994
