Agency,Rating,Outlook,Date
Moody's,Aa3,Stable,Nov 24 2023
Moody's,Aa3,Negative,Aug 05 2022
Moody's,Aa3,Stable,Oct 04 2019
Moody's,A1,Positive,Apr 20 2018
S&P,AA-,Stable,Aug 24 2011
S&P,A,Positive,Aug 10 2010
Moody's,A1,Stable,Dec 08 2008
S&P,A,Stable,Oct 02 2007
Moody's,A1,Positive,Mar 30 2006
S&P,A-,Positive,Nov 30 2005
Moody's,A1,Stable,Nov 12 2002
S&P,A-,Stable,Nov 05 1998
S&P,A,Stable,Nov 06 1995
Moody's,Baa1,Stable,Sep 18 1995
Moody's,Baa2,Positive Watch,May 02 1995
S&P,BBB+,Positive,Jul 18 1994
Moody's,Baa2,Stable,May 25 1994
S&P,BBB,Positive,Jul 28 1993
Moody's,Baa3,Stable,Mar 10 1993
