Agency,Rating,Outlook,Date
S&P,NR,N/A,Dec 31 2024
S&P,A+,Stable,May 31 2024
S&P,AA-,Negative,Dec 06 2022
S&P,AA-,Stable,Mar 31 2022
S&P,AA-,Positive,Aug 20 2021
S&P,AA-,Stable,Aug 21 2020
S&P,AA-,Positive,Feb 28 2020
DBRS,AA (low),Stable,Jul 14 2017
S&P,AA-,Stable,Oct 19 2012
S&P,AA-,Negative,Jan 13 2012
S&P,AA-,Negative Watch,Dec 05 2011
S&P,AA-,Stable,Aug 09 2011
S&P,A,Positive,Apr 21 2011
S&P,A,Stable,Jun 10 2010
Moody's,A1,Stable,Mar 31 2010
S&P,A-,Stable,Feb 11 2010
S&P,A-,Negative,Aug 10 2009
S&P,A,Negative,Apr 21 2009
S&P,A,Negative Watch,Feb 24 2009
Moody's,A1,Negative Watch,Feb 10 2009
Moody's,A1,Negative,Nov 07 2008
Moody's,A1,Stable,Sep 12 2007
S&P,A,Negative,Jul 02 2007
S&P,A,Stable,Jul 17 2006
Moody's,A1,Positive,Mar 09 2006
S&P,A,Positive,Jul 21 2005
S&P,A,Stable,Nov 17 2004
S&P,A-,Positive,Dec 18 2003
Moody's,A1,Stable,Nov 12 2002
S&P,A-,Stable,Nov 20 2001
S&P,BBB+,Positive,Dec 22 2000
S&P,BBB+,Stable,Dec 11 1997
Moody's,Baa1,Stable,Sep 11 1997
