Agency,Rating,Outlook,Date
Moody's,Baa2,Negative,Nov 30 2024
S&P,BBB-,Stable,Jan 27 2023
S&P,BBB,Negative,Aug 12 2022
Moody's,Baa2,Stable,Sep 24 2021
Moody's,Baa3,Positive,Sep 25 2020
S&P,BBB,Stable,Apr 28 2020
S&P,BBB,Positive,Feb 14 2020
S&P,BBB,Stable,Feb 15 2019
S&P,BBB-,Positive,Aug 25 2017
Moody's,Baa3,Stable,Nov 04 2016
S&P,BBB-,Stable,Sep 16 2016
Moody's,Ba1,Positive,Nov 06 2015
S&P,BB+,Stable,Mar 20 2015
Moody's,Ba1,Stable,Nov 07 2014
S&P,BB,Stable,Mar 28 2014
S&P,BB,Negative,Mar 21 2013
S&P,BB,Stable,Nov 23 2012
S&P,BB+,Negative,Dec 21 2011
Moody's,Ba1,Negative,Nov 24 2011
S&P,BBB-,Negative Watch,Nov 11 2011
Moody's,Baa3,Negative,Dec 06 2010
Moody's,Baa1,Negative Watch,Jul 23 2010
S&P,BBB-,Negative,Jul 23 2010
S&P,BBB-,Stable,Oct 02 2009
Moody's,Baa1,Negative,Mar 31 2009
S&P,BBB-,Negative,Mar 30 2009
S&P,BBB,Negative,Nov 17 2008
Moody's,A3,Negative,Nov 07 2008
S&P,BBB+,Negative Watch,Oct 15 2008
S&P,BBB+,Negative,Mar 14 2008
Moody's,A2,Stable,Dec 22 2006
S&P,BBB+,Stable,Dec 21 2006
Moody's,A1,Negative Watch,Sep 22 2006
S&P,BBB+,Negative,Jun 15 2006
Moody's,A1,Negative,Feb 22 2006
S&P,A-,Negative,Jan 26 2006
Moody's,A1,Stable,Nov 29 2001
S&P,A-,Stable,Dec 19 2000
Moody's,A3,Stable,Nov 14 2000
Moody's,Baa1,Positive Watch,Sep 13 2000
Moody's,Baa1,Positive,Apr 10 2000
S&P,BBB+,Positive,Feb 02 2000
Moody's,Baa1,Stable,Jun 25 1999
S&P,BBB,Positive,Dec 11 1998
Moody's,Baa2,Positive,May 08 1998
Moody's,Baa3,Positive Watch,Mar 20 1998
S&P,BBB-,Positive,Jan 22 1998
Moody's,Baa3,Positive,Sep 11 1997
Moody's,Baa3,Stable,Dec 19 1996
S&P,BBB-,Stable,Oct 28 1996
Moody's,Ba1,Positive Watch,Oct 14 1996
S&P,BB+,Stable,Feb 01 1996
S&P,BB+,Negative,Apr 11 1995
S&P,BB+,Stable,Apr 15 1994
S&P,BB+,Positive,Apr 20 1992
Moody's,Ba1,Stable,Jul 18 1990
Moody's,Baa2,Stable,Jul 18 1989
