Agency,Rating,Outlook,Date
Moody's,A1,Stable,Sep 20 2024
S&P,A+,Stable,Nov 10 2023
Moody's,A2,Positive,Jul 14 2023
S&P,A,Positive,May 12 2023
Moody's,A2,Stable,Nov 08 2019
Moody's,A3,Positive,Jul 20 2018
S&P,A,Stable,Mar 17 2017
S&P,A-,Stable,Jan 13 2017
Moody's,A3,Stable,Sep 01 2016
Moody's,Baa2,Positive Watch,Jun 10 2016
S&P,BBB+,Stable,Jan 15 2016
S&P,BBB,Stable,Jul 17 2015
Moody's,Baa2,Stable,Jun 29 2015
S&P,BBB-,Positive,Jul 18 2014
S&P,BBB-,Stable,Jan 24 2014
S&P,BBB-,Negative,Jul 26 2013
Moody's,Baa3,Stable,Feb 07 2013
S&P,BBB-,Stable,Nov 23 2011
S&P,BBB-,Negative,May 17 2011
S&P,BBB-,Negative Watch,Apr 13 2011
Moody's,Baa3,Negative,Jul 29 2010
Moody's,Baa3,Stable,Apr 23 2010
Moody's,Baa3,Negative,Apr 06 2010
S&P,BBB-,Negative,Mar 30 2010
S&P,BBB-,Negative Watch,Jan 05 2010
S&P,BBB-,Stable,Dec 31 2009
Moody's,Baa3,Stable,Nov 11 2009
Moody's,Baa1,Negative,Dec 04 2008
S&P,BBB-,Negative,Nov 24 2008
Moody's,A1,Stable,Oct 08 2008
Moody's,A1,Negative Watch,Oct 08 2008
S&P,BBB,Negative,Oct 06 2008
Moody's,Aa1,Negative Watch,Sep 30 2008
S&P,A-,Negative Watch,Sep 29 2008
Moody's,Aa1,Stable,May 20 2008
S&P,A,Negative,Apr 17 2008
S&P,A+,Negative Watch,Apr 01 2008
Moody's,Aaa,Negative,Mar 05 2008
S&P,A+,Negative,Nov 20 2007
S&P,A+,Stable,Dec 22 2006
S&P,AA-,Negative,Jun 05 2006
S&P,AA-,Stable,Feb 10 2005
S&P,A+,Positive,Dec 16 2003
S&P,A+,Stable,Nov 15 2002
Moody's,Aaa,Stable,Oct 20 2002
S&P,A+,Negative,Oct 22 2001
S&P,A+,Stable,Mar 21 2001
S&P,A+,Positive,May 27 1998
Moody's,Aa3,Stable,Jul 30 1997
Moody's,A1,Positive Watch,Jun 16 1997
Moody's,A1,Stable,Jun 24 1996
Moody's,A2,Positive Watch,Apr 10 1996
S&P,A+,Stable,Mar 15 1996
S&P,A,Stable,Jun 26 1989
Moody's,A2,Stable,May 24 1989
S&P,A,N/A,Feb 14 1989
