Agency,Rating,Outlook,Date
S&P,AA,Positive,Nov 15 2024
DBRS,AA,Stable,Sep 20 2024
Moody's,Aa3,Positive,Aug 16 2024
DBRS,AA (low),Positive,Mar 22 2024
S&P,AA,Stable,May 19 2023
Moody's,Aa3,Stable,Apr 21 2023
S&P,AA-,Positive,Nov 18 2022
Moody's,A1,Positive,May 06 2022
DBRS,AA (low),Stable,Jan 14 2022
Moody's,A2,Positive,Aug 13 2021
DBRS,A (high),Positive,Jul 16 2021
DBRS,A (high),Stable,May 15 2020
DBRS,A (high),Positive,Jan 31 2020
S&P,AA-,Stable,Nov 29 2019
Moody's,A2,Stable,Sep 15 2017
Moody's,A3,Positive,May 14 2016
DBRS,A (high),Stable,Mar 11 2016
DBRS,A,Positive,Sep 11 2015
Moody's,Baa1,Positive,Sep 11 2015
S&P,A+,Stable,Jun 05 2015
DBRS,A,Stable,Mar 13 2015
S&P,A,Stable,Dec 05 2014
DBRS,A (low),Positive,Sep 26 2014
S&P,A-,Positive,Jun 06 2014
Moody's,Baa1,Stable,May 16 2014
DBRS,A (low),Stable,Mar 28 2014
Moody's,Baa3,Positive,Jan 17 2014
Moody's,Ba1,Stable,Sep 20 2013
S&P,BBB+,Positive,Jul 12 2013
Moody's,Ba1,Negative,Mar 27 2013
S&P,BBB+,Stable,Feb 11 2013
DBRS,A (low),Under Review,May 22 2012
S&P,BBB+,Negative,Jan 13 2012
S&P,BBB+,Negative Watch,Dec 05 2011
DBRS,A (low),Negative,Aug 17 2011
Moody's,Ba1,Negative,Jul 12 2011
Moody's,Baa3,Negative,Apr 15 2011
DBRS,A,Negative,Apr 01 2011
S&P,BBB+,Stable,Apr 01 2011
S&P,A-,Negative Watch,Feb 02 2011
Moody's,Baa1,Negative,Dec 17 2010
DBRS,AA,Negative,Dec 15 2010
DBRS,A (high),Negative,Dec 15 2010
S&P,A,Negative Watch,Nov 23 2010
DBRS,AA,Under Review,Oct 05 2010
Moody's,Aa2,Negative Watch,Oct 05 2010
S&P,AA-,Negative,Aug 24 2010
DBRS,AA,Stable,Jul 21 2010
Moody's,Aa2,Stable,Jul 19 2010
Moody's,Aa1,Negative,Jul 02 2009
S&P,AA,Negative,Jun 08 2009
Moody's,Aaa,Negative Watch,Apr 17 2009
S&P,AA+,Negative,Mar 30 2009
Moody's,Aaa,Negative,Jan 30 2009
S&P,AAA,Negative,Jan 09 2009
S&P,AAA,Stable,Oct 03 2001
S&P,AA+,Positive,Oct 03 2000
S&P,AA+,Stable,May 06 1998
Moody's,Aaa,Stable,May 04 1998
Moody's,Aa1,Positive Watch,Mar 18 1998
Moody's,Aa1,Stable,Feb 13 1997
Moody's,Aa2,Positive Watch,Jan 24 1997
S&P,AA,Stable,May 03 1995
Moody's,Aa2,Stable,Aug 31 1994
Moody's,Aa3,Positive Watch,Jun 24 1994
S&P,AA-,Positive,May 10 1994
S&P,AA-,Stable,Oct 12 1989
S&P,A+,Stable,Jun 26 1989
S&P,A+,N/A,Oct 01 1988
Moody's,Aa3,Stable,Jul 15 1987
