Agency,Rating,Outlook,Date
DBRS,BBB (high),Positive,Oct 25 2024
Moody's,Baa3,Stable,Nov 17 2023
Moody's,Baa3,Negative,Aug 05 2022
S&P,BBB,Stable,Jul 26 2022
DBRS,BBB (high),Stable,Oct 29 2021
S&P,BBB,Positive,Oct 22 2021
S&P,BBB,Stable,Oct 23 2020
DBRS,BBB (high),Negative,May 08 2020
S&P,BBB,Negative,Oct 26 2018
Moody's,Baa3,Stable,Oct 19 2018
Moody's,Baa2,Under Review,May 25 2018
S&P,BBB,Stable,Oct 27 2017
DBRS,BBB (high),Stable,Jan 13 2017
Moody's,Baa2,Negative,Dec 07 2016
DBRS,A (low),Under Review,Aug 05 2016
S&P,BBB-,Stable,Dec 05 2014
Moody's,Baa2,Stable,Feb 14 2014
S&P,BBB,Negative,Jul 09 2013
DBRS,A (low),Negative,Mar 06 2013
DBRS,A,Negative,Aug 08 2012
Moody's,Baa2,Negative,Jul 13 2012
DBRS,A (high),Under Review,May 22 2012
Moody's,A3,Negative,Feb 13 2012
S&P,BBB+,Negative,Jan 13 2012
S&P,A,Negative Watch,Dec 05 2011
DBRS,A (high),Negative,Nov 09 2011
Moody's,A2,Negative,Oct 04 2011
S&P,A,Negative,Sep 19 2011
Moody's,Aa2,Negative Watch,Jun 17 2011
S&P,A+,Negative,May 20 2011
DBRS,AA (low),Negative,Feb 03 2011
S&P,A+,Stable,Oct 19 2006
S&P,AA-,Negative,Aug 08 2005
S&P,AA-,Stable,Jul 07 2004
S&P,AA,Negative,Jan 15 2003
Moody's,Aa2,Stable,May 15 2002
S&P,AA,Stable,May 06 1998
Moody's,Aa3,Stable,Jul 03 1996
Moody's,A1,Stable,May 01 1996
Moody's,A1,Positive Watch,May 01 1996
S&P,AA,Negative,Feb 03 1995
S&P,AA,Stable,Mar 01 1993
Moody's,Aa3,Negative Watch,Feb 25 1993
Moody's,Aa3,Stable,Aug 13 1992
S&P,AA+,Negative,May 06 1992
Moody's,Aa1,Stable,Jul 01 1991
S&P,AA+,Stable,May 30 1991
S&P,AA+,Positive,Jun 26 1989
S&P,AA+,N/A,Nov 23 1988
Moody's,Aaa,Stable,Oct 10 1986
