Agency,Rating,Outlook,Date
S&P,A,Stable,May 31 2024
S&P,A+,Negative,Dec 06 2022
DBRS,A,Stable,Nov 19 2021
DBRS,A (low),Positive,May 21 2021
DBRS,A (low),Stable,May 22 2020
S&P,A+,Stable,Feb 21 2020
DBRS,A (low),Positive,May 24 2019
S&P,A,Stable,Sep 21 2018
S&P,A-,Positive,Sep 22 2017
DBRS,A (low),Stable,Jun 30 2017
Moody's,A3,Stable,Feb 13 2015
S&P,A-,Stable,May 30 2014
S&P,BBB+,Positive,Dec 13 2013
Moody's,Baa1,Stable,Jun 13 2013
S&P,BBB+,Stable,Jun 10 2013
Moody's,Baa2,Positive,Mar 15 2013
S&P,BBB,Positive,Nov 09 2012
S&P,BBB-,Stable,May 02 2012
Moody's,Baa3,Positive,Jun 06 2011
S&P,BB+,Positive,Mar 09 2011
S&P,BB+,Stable,Dec 07 2010
Moody's,Baa3,Stable,Mar 31 2010
S&P,BB,Stable,Feb 12 2010
S&P,BB,Negative,Aug 10 2009
Moody's,Baa3,Negative,Apr 23 2009
S&P,BB+,Negative,Feb 24 2009
Moody's,Baa1,Negative,Jan 07 2009
Moody's,A3,Negative,Nov 07 2008
S&P,BBB,Negative,Oct 27 2008
Moody's,A2,Negative,Sep 25 2008
Moody's,A2,Stable,Sep 12 2007
S&P,BBB+,Negative,May 17 2007
S&P,A-,Negative,Feb 19 2007
Moody's,A2,Positive,Mar 09 2006
S&P,A-,Stable,Jul 29 2004
S&P,BBB+,Positive,Jul 29 2003
Moody's,A2,Stable,Nov 12 2002
S&P,BBB+,Stable,Aug 20 2002
S&P,BBB,Positive,Aug 09 2001
Moody's,Baa2,Stable,Dec 17 1997
S&P,BBB,Stable,Jan 16 1997
