Agency,Rating,Outlook,Date
S&P,A,Stable,May 31 2024
S&P,A+,Negative,Dec 02 2022
DBRS,A (high),Stable,Nov 19 2021
DBRS,A,Positive,May 21 2021
Moody's,A2,Stable,Feb 12 2021
DBRS,A,Stable,May 22 2020
S&P,A+,Stable,Feb 21 2020
DBRS,A,Positive,Jan 10 2020
Moody's,A3,Positive,Aug 23 2019
DBRS,A,Stable,Jul 12 2019
S&P,A,Stable,Mar 02 2018
S&P,A-,Positive,Sep 01 2017
DBRS,A (low),Stable,Jul 21 2017
Moody's,A3,Stable,May 08 2015
Moody's,Baa1,Positive,Sep 05 2014
S&P,A-,Stable,Apr 11 2014
S&P,BBB,Positive,Oct 25 2013
Moody's,Baa1,Stable,Mar 31 2010
S&P,BBB,Stable,Feb 03 2010
Moody's,Baa1,Negative,Sep 28 2009
S&P,BBB,Negative,Aug 17 2009
Moody's,A3,Negative,Apr 23 2009
S&P,BBB,Negative,Mar 24 2009
Moody's,A2,Negative Watch,Feb 10 2009
Moody's,A2,Negative,Nov 07 2008
S&P,BBB+,Negative,Oct 27 2008
S&P,A-,Negative,Jan 30 2008
S&P,A,Negative,May 23 2007
Moody's,A2,Stable,Sep 12 2006
S&P,A,Stable,May 18 2006
Moody's,A3,Positive Watch,Mar 09 2006
S&P,A,Positive,Dec 05 2005
S&P,A-,Positive,Feb 01 2005
S&P,A-,Stable,Feb 05 2004
Moody's,A3,Positive,Dec 11 2003
Moody's,Baa1,Positive Watch,Aug 19 2003
S&P,BBB+,Positive,Jul 29 2003
Moody's,Baa1,Positive,Mar 14 2003
S&P,BBB+,Stable,Feb 17 2003
Moody's,Baa1,Stable,Nov 12 2002
Moody's,Ba1,Positive,Apr 23 2002
S&P,BBB,Stable,Apr 22 2002
Moody's,Ba1,Stable,Dec 16 1997
S&P,BBB-,Stable,Jun 09 1997
Moody's,Ba2,Stable,Sep 04 1996
