Agency,Rating,Outlook,Date
Moody's,A2,Stable,Nov 18 2022
Moody's,A2,Negative,Aug 06 2021
S&P,A-,Stable,Mar 13 2020
Moody's,A2,Stable,Jul 19 2019
DBRS,A (high),Stable,Feb 23 2018
Moody's,A3,Positive,Feb 23 2018
S&P,A-,Positive,Sep 29 2017
DBRS,A,Positive,Aug 25 2017
S&P,A-,Stable,Oct 14 2016
S&P,BBB+,Positive,Jul 10 2015
DBRS,A,Stable,Apr 03 2015
Moody's,A3,Stable,Oct 04 2013
S&P,BBB+,Stable,Jan 16 2013
Moody's,A3,Negative,Feb 13 2012
S&P,A-,Negative,Jan 13 2012
S&P,A,Negative Watch,Dec 05 2011
Moody's,A2,Negative,Sep 06 2011
Moody's,A1,Stable,Jan 03 2008
Moody's,A2,Positive,Jul 10 2007
Moody's,A3,Positive Watch,May 17 2007
Moody's,A3,Positive,Mar 09 2006
Moody's,A3,Stable,Jul 15 2003
S&P,A,Stable,May 02 2000
S&P,A,Negative,Mar 10 1999
Moody's,A3,Negative,Feb 17 1999
S&P,A+,Negative,Jun 19 1998
Moody's,A3,Stable,Mar 25 1998
Moody's,A2,Negative Watch,Jan 22 1998
Moody's,A2,Negative,Jul 03 1997
S&P,A+,Stable,May 06 1996
S&P,A,Stable,Mar 14 1994
Moody's,A2,Stable,Mar 14 1994
