Agency,Rating,Outlook,Date
Moody's,Ba3,Stable,Sep 27 2024
S&P,B+,Stable,Aug 30 2024
S&P,B,Positive,Mar 01 2024
S&P,B,Stable,Mar 05 2021
S&P,B+,Negative,May 01 2020
Moody's,B1,Stable,Mar 06 2020
Moody's,B1,Positive,Sep 21 2018
S&P,B+,Stable,Oct 06 2017
Moody's,B1,Stable,Sep 29 2017
Moody's,B1,Negative,May 14 2016
S&P,B+,Negative,May 13 2016
S&P,B+,Stable,Nov 14 2014
Moody's,Ba3,Negative,Oct 31 2014
S&P,BB-,Negative,Nov 29 2013
S&P,BB-,Stable,Jun 13 2012
Moody's,Ba3,Stable,Mar 30 2011
Moody's,Ba3,Negative,Apr 30 2009
Moody's,Ba2,Negative,Dec 18 2008
S&P,BB+,Negative,Apr 14 2008
Moody's,Ba2,Stable,Mar 12 2008
S&P,BB+,Stable,Mar 27 2007
S&P,BB,Positive,Dec 21 2005
S&P,BB,Stable,Dec 20 2004
