Agency,Rating,Outlook,Date
S&P,A-,Stable,Oct 12 2018
S&P,BBB+,Positive,Apr 13 2018
DBRS,A,Stable,Jun 09 2017
Moody's,A2,Stable,May 12 2017
S&P,BBB+,Stable,Dec 02 2016
DBRS,A,Negative,Jun 10 2016
Moody's,A2,Negative,May 14 2016
S&P,BBB+,Negative,Jan 15 2016
DBRS,A,Stable,Dec 11 2015
S&P,A-,Positive,Feb 06 2015
S&P,A-,Stable,Oct 27 2008
S&P,A-,Positive,Feb 21 2008
S&P,A-,Stable,Mar 29 2007
S&P,BBB+,Stable,Apr 24 2006
S&P,BBB+,Positive,Mar 22 2005
S&P,BBB+,Stable,Oct 07 2004
S&P,BBB+,Negative,Jun 23 2003
Moody's,A2,Stable,Nov 12 2002
S&P,BBB+,Stable,Aug 22 2001
S&P,BBB+,Positive,Apr 12 2001
S&P,BBB+,Stable,May 15 2000
Moody's,Baa1,Stable,Sep 02 1999
S&P,BBB,Positive,Jun 10 1999
S&P,BBB-,Positive,Jun 03 1997
S&P,BBB-,Stable,Apr 10 1996
S&P,BB,Positive,Jun 01 1995
Moody's,Baa3,Stable,Jun 01 1995
