Agency,Rating,Outlook,Date
DBRS,A (high),Stable,Jan 17 2025
DBRS,A,Positive,Jul 19 2024
S&P,A-,Positive,Mar 01 2024
Moody's,A3,Stable,Nov 17 2023
S&P,BBB+,Positive,Sep 08 2023
DBRS,A,Stable,Jul 21 2023
Moody's,Baa2,Positive,May 20 2023
S&P,BBB+,Stable,Sep 09 2022
DBRS,A (low),Stable,Aug 26 2022
DBRS,BBB (high),Positive,Feb 25 2022
Moody's,Baa2,Stable,Sep 17 2021
S&P,BBB,Stable,Apr 24 2020
DBRS,BBB (high),Stable,Oct 04 2019
S&P,BBB,Positive,Sep 13 2019
Moody's,Baa3,Positive,Aug 09 2019
DBRS,BBB,Positive,Apr 05 2019
S&P,BBB,Stable,Mar 15 2019
Moody's,Baa3,Stable,Oct 12 2018
S&P,BBB-,Positive,Sep 14 2018
DBRS,BBB,Stable,Apr 20 2018
S&P,BBB-,Stable,Sep 15 2017
Moody's,Ba1,Positive,Sep 01 2017
S&P,BB+,Stable,Sep 18 2015
S&P,BB,Positive,Mar 20 2015
Moody's,Ba1,Stable,Jul 25 2014
DBRS,BBB (low),Stable,May 23 2014
Moody's,Ba2,Positive Watch,May 09 2014
S&P,BB,Stable,May 09 2014
S&P,BB,Negative,Jan 17 2014
Moody's,Ba3,Stable,Nov 08 2013
S&P,BB,Negative Watch,Sep 18 2013
S&P,BB,Negative,Jul 05 2013
S&P,BB,Stable,Mar 06 2013
DBRS,BBB (low),Under Review,Aug 22 2012
DBRS,BBB (low),Under Review,May 22 2012
Moody's,Ba3,Negative,Feb 13 2012
DBRS,BBB (low),Negative,Jan 30 2012
S&P,BB,Negative,Jan 13 2012
S&P,BBB-,Negative Watch,Dec 05 2011
DBRS,BBB,Negative,Oct 19 2011
Moody's,Ba2,Negative,Jul 05 2011
DBRS,BBB (high),Negative,May 24 2011
Moody's,Baa1,Negative Watch,Apr 05 2011
S&P,BBB-,Negative,Mar 29 2011
S&P,BBB,Negative Watch,Mar 24 2011
Moody's,A3,Negative,Mar 15 2011
Moody's,A1,Negative Watch,Dec 21 2010
S&P,A-,Negative Watch,Nov 30 2010
DBRS,A (low),Negative,Nov 10 2010
Moody's,A1,Stable,Jul 13 2010
Moody's,Aa2,Negative Watch,May 05 2010
S&P,A-,Negative,Apr 27 2010
S&P,A+,Negative,Dec 07 2009
Moody's,Aa2,Negative,Oct 29 2009
S&P,A+,Stable,Jan 21 2009
S&P,AA-,Negative Watch,Jan 13 2009
S&P,AA-,Stable,Jun 27 2005
S&P,AA,Negative,Oct 29 2004
S&P,AA,Stable,Dec 15 1998
Moody's,Aa2,Stable,May 04 1998
S&P,AA-,Positive,Oct 06 1997
Moody's,Aa3,Stable,Feb 10 1997
S&P,AA-,Stable,May 26 1993
S&P,A+,Stable,Oct 25 1991
S&P,A,Stable,Oct 26 1989
S&P,A,Positive,Jun 26 1989
S&P,A,N/A,Oct 01 1988
Moody's,A1,Stable,Nov 18 1986
