Agency,Rating,Outlook,Date
S&P,BBB-,Negative,Jan 25 2025
Moody's,Baa3,Stable,Oct 18 2021
S&P,BBB-,Stable,Apr 16 2021
Moody's,Baa3,Negative,Apr 24 2020
S&P,BBB-,Negative,Dec 10 2019
Moody's,Baa3,Stable,Apr 21 2017
Moody's,Baa3,Positive,Dec 11 2015
S&P,BBB-,Stable,May 16 2014
Moody's,Baa3,Stable,Apr 25 2014
S&P,BB+,Positive,Nov 22 2013
Moody's,Baa3,Negative,Jun 29 2012
S&P,BB+,Stable,Mar 09 2010
S&P,BB+,Negative,Oct 27 2008
S&P,BBB-,Negative,Nov 06 2007
S&P,BBB-,Stable,Apr 05 2007
Moody's,Baa3,Stable,Oct 06 2006
S&P,BBB-,Positive,Sep 05 2006
Moody's,Ba1,Positive Watch,Jun 07 2006
S&P,BBB-,Stable,Sep 06 2005
Moody's,Ba1,Positive,Mar 02 2005
S&P,BB+,Positive,Feb 01 2005
S&P,BB+,Stable,Sep 14 2004
Moody's,Ba3,Stable,Dec 11 2003
S&P,BB,Positive,Sep 17 2003
S&P,BB-,Positive,Feb 27 2003
Moody's,B1,Stable,Dec 16 2002
S&P,B+,Positive,Apr 19 2002
Moody's,B2,Stable,Dec 19 2001
S&P,B,Positive,Jun 07 2001
S&P,B-,Positive,Mar 05 2001
S&P,B-,Stable,Aug 04 2000
Moody's,B3,Stable,Nov 06 1998
S&P,B-,Negative,Oct 19 1998
Moody's,B1,Stable,Sep 14 1998
Moody's,Ba3,Negative Watch,Aug 07 1998
S&P,B+,Stable,May 20 1998
S&P,BB-,Negative Watch,Mar 25 1997
S&P,BB-,Stable,Mar 06 1996
Moody's,Ba3,Stable,Mar 06 1996
