Agency,Rating,Outlook,Date
S&P,NR,N/A,Apr 08 2022
Moody's,NR,N/A,Mar 31 2022
S&P,CC,Negative Watch,Mar 17 2022
Moody's,Ca,Negative,Mar 06 2022
S&P,CCC-,Negative Watch,Mar 03 2022
Moody's,B3,Under Review,Mar 03 2022
S&P,BB+,Negative Watch,Feb 27 2022
Moody's,Baa3,Under Review,Feb 25 2022
Moody's,Baa3,Stable,Feb 08 2019
S&P,BBB-,Stable,Feb 23 2018
Moody's,Ba1,Positive,Jan 25 2018
S&P,BB+,Positive,Mar 17 2017
Moody's,Ba1,Stable,Feb 17 2017
S&P,BB+,Stable,Sep 16 2016
Moody's,Ba1,Negative,Apr 22 2016
Moody's,Ba1,Negative Watch,Mar 04 2016
Moody's,Ba1,Stable,Dec 03 2015
Moody's,Ba1,Negative,Feb 20 2015
S&P,BB+,Negative,Jan 26 2015
Moody's,Baa3,Negative Watch,Jan 16 2015
S&P,BBB-,Negative Watch,Dec 23 2014
Moody's,Baa2,Negative,Oct 17 2014
Moody's,Baa1,Negative,Jun 27 2014
S&P,BBB-,Negative,Apr 25 2014
Moody's,Baa1,Negative Watch,Mar 28 2014
S&P,BBB,Negative,Mar 20 2014
S&P,BBB,Stable,Dec 21 2009
Moody's,Baa1,Stable,Dec 12 2008
S&P,BBB,Negative,Dec 08 2008
S&P,BBB+,Negative,Oct 23 2008
S&P,BBB+,Stable,Sep 19 2008
Moody's,Baa1,Positive,Jul 16 2008
Moody's,Baa2,Positive Watch,Mar 27 2008
S&P,BBB+,Positive,Mar 11 2008
S&P,BBB+,Stable,Sep 04 2006
S&P,BBB-,Stable,Dec 31 2005
S&P,BBB,Stable,Dec 15 2005
Moody's,Baa2,Stable,Oct 25 2005
Moody's,Baa3,Positive Watch,Sep 08 2005
Moody's,Baa3,Positive,Oct 06 2004
S&P,BB+,Stable,Jan 27 2004
Moody's,Baa3,Stable,Oct 08 2003
Moody's,Ba2,Positive Watch,Jul 28 2003
Moody's,Ba2,Stable,Dec 17 2002
S&P,BB,Stable,Dec 05 2002
Moody's,Ba3,Positive Watch,Oct 17 2002
S&P,BB-,Stable,Jul 26 2002
S&P,B+,Positive,Feb 22 2002
S&P,B+,Stable,Dec 19 2001
Moody's,Ba3,Stable,Nov 29 2001
S&P,B+,Positive,Oct 04 2001
S&P,B,Stable,Jun 28 2001
S&P,B-,Stable,Dec 08 2000
Moody's,B2,Stable,Nov 13 2000
Moody's,B3,Positive Watch,Aug 23 2000
Moody's,B3,Stable,Jan 05 2000
S&P,SD,N/A,Jan 27 1999
S&P,CCC-,Negative,Sep 16 1998
Moody's,B3,Negative,Aug 21 1998
S&P,CCC,Negative,Aug 17 1998
Moody's,B2,Negative,Aug 13 1998
S&P,B-,Negative,Aug 13 1998
S&P,B+,Stable,Jun 09 1998
Moody's,B1,Negative,May 29 1998
S&P,BB-,Negative Watch,May 27 1998
Moody's,Ba3,Stable,Mar 11 1998
Moody's,Ba2,Negative Watch,Feb 03 1998
S&P,BB-,Negative,Dec 19 1997
S&P,BB-,Stable,Oct 07 1996
Moody's,Ba2,Stable,Oct 07 1996
