Agency,Rating,Outlook,Date
S&P,BBB-,Stable,Oct 04 2024
Moody's,Ba2,Positive,Aug 30 2024
S&P,BB+,Positive,Apr 05 2024
S&P,BB+,Stable,Jun 10 2022
S&P,BB+,Positive,Dec 10 2021
Moody's,Ba2,Stable,Mar 12 2021
S&P,BB+,Stable,May 01 2020
S&P,BB+,Positive,Dec 13 2019
Moody's,Ba3,Positive,Sep 06 2019
S&P,BB,Positive,Dec 14 2018
S&P,BB,Stable,Dec 15 2017
Moody's,Ba3,Stable,Mar 17 2017
S&P,BB-,Positive,Dec 16 2016
Moody's,B1,Positive,Mar 18 2016
S&P,BB-,Stable,Jan 15 2016
S&P,BB-,Negative,Jan 16 2015
S&P,BB-,Negative Watch,Oct 10 2014
Moody's,B1,Stable,Jul 14 2013
S&P,BB-,Negative,Aug 07 2012
S&P,BB,Stable,Mar 16 2011
S&P,BB-,Stable,Dec 01 2009
S&P,BB-,Negative,Mar 11 2008
S&P,BB-,Stable,Jul 10 2007
S&P,BB-,Positive,Feb 28 2006
S&P,BB-,Stable,Jul 18 2005
S&P,B+,Stable,Nov 01 2004
