Agency,Rating,Outlook,Date
Moody's,A3,Stable,Dec 13 2024
DBRS,A,Negative,Feb 09 2024
S&P,A+,Stable,May 19 2023
DBRS,A,Stable,Feb 24 2023
DBRS,A (high),Negative,Aug 26 2022
Moody's,A2,Negative,Aug 05 2022
S&P,A+,Negative,May 20 2022
S&P,A+,Stable,Jan 22 2021
S&P,A+,Negative,Jul 24 2020
Moody's,A2,Stable,Sep 27 2019
Moody's,A2,Positive,Apr 07 2017
DBRS,A (high),Stable,Apr 22 2016
S&P,A+,Stable,Jul 31 2015
S&P,A,Positive,Aug 01 2014
Moody's,A2,Stable,Oct 04 2013
Moody's,A2,Negative,Feb 13 2012
S&P,A,Stable,Jan 13 2012
S&P,A+,Negative Watch,Dec 05 2011
S&P,A+,Positive,Aug 24 2011
Moody's,A1,Stable,Mar 27 2009
S&P,A+,Stable,Nov 27 2008
Moody's,A1,Positive,Jul 31 2008
S&P,A,Positive,Mar 03 2008
Moody's,A1,Stable,Oct 17 2006
Moody's,A2,Positive Watch,Mar 09 2006
S&P,A,Stable,Dec 19 2005
Moody's,A2,Positive,Jan 12 2005
S&P,A-,Positive,Dec 13 2004
Moody's,A3,Positive Watch,Oct 06 2004
Moody's,A3,Positive,Jun 18 2004
S&P,BBB+,Positive,Mar 02 2004
S&P,BBB,Positive,Dec 19 2002
Moody's,A3,Stable,Nov 12 2002
Moody's,Baa3,Stable,Nov 13 2001
S&P,BBB-,Positive,Oct 30 2001
Moody's,Ba1,Positive,Nov 30 2000
S&P,BB+,Positive,Nov 09 2000
S&P,BB+,Stable,Nov 12 1999
Moody's,Ba1,Stable,Oct 27 1999
Moody's,Ba1,Negative Watch,Oct 01 1998
S&P,BB+,Negative,Sep 17 1998
S&P,BBB-,Negative,Apr 06 1998
Moody's,Ba1,Stable,Mar 30 1998
Moody's,Baa3,Negative Watch,Jan 20 1998
S&P,BBB-,Stable,Apr 11 1996
Moody's,Baa3,Stable,May 15 1995
S&P,BB+,Stable,Apr 05 1995
S&P,BB-,Stable,Feb 15 1994
