Agency,Rating,Outlook,Date
S&P,AA-,Positive,Dec 06 2024
DBRS,A (high),Positive,Dec 06 2024
Moody's,A3,Positive,Oct 11 2024
Moody's,A3,Stable,Oct 02 2020
DBRS,A (high),Stable,Feb 21 2020
DBRS,A,Positive,Aug 30 2019
S&P,AA-,Stable,Jun 14 2019
Moody's,Baa1,Positive,Apr 26 2019
S&P,A+,Positive,Jun 15 2018
DBRS,A,Stable,Nov 17 2017
Moody's,Baa1,Stable,Sep 08 2017
S&P,A+,Stable,Jun 16 2017
S&P,A,Positive,Dec 16 2016
Moody's,Baa3,Positive,Sep 16 2016
S&P,A,Stable,Jun 17 2016
S&P,A-,Positive,Jun 19 2015
Moody's,Baa3,Stable,Jan 23 2015
S&P,A-,Stable,Dec 19 2014
S&P,A-,Negative,Jun 27 2014
Moody's,Ba1,Stable,Jan 24 2014
Moody's,Ba1,Negative,Apr 30 2013
S&P,A-,Stable,Feb 12 2013
S&P,A,Negative Watch,Nov 06 2012
S&P,A,Negative,Aug 03 2012
Moody's,Baa2,Negative,Aug 02 2012
Moody's,A2,Negative,Feb 13 2012
S&P,A+,Negative,Jan 13 2012
Moody's,A1,Negative,Dec 22 2011
S&P,AA-,Negative Watch,Dec 05 2011
S&P,AA-,Stable,Oct 19 2011
Moody's,Aa3,Negative Watch,Sep 23 2011
S&P,AA,Negative,Dec 22 2010
Moody's,Aa2,Stable,Mar 31 2009
Moody's,Aa2,Positive,Jul 26 2006
Moody's,Aa3,Positive Watch,Jun 07 2006
S&P,AA,Stable,May 16 2006
Moody's,Aa3,Positive,Mar 09 2006
S&P,AA-,Stable,May 13 2004
S&P,A+,Positive,Mar 26 2003
Moody's,Aa3,Stable,Nov 12 2002
S&P,A,Positive,Oct 23 2002
Moody's,A2,Positive,Aug 14 2002
Moody's,A2,Stable,Nov 14 2000
Moody's,A3,Positive Watch,Sep 13 2000
Moody's,A3,Positive,Sep 15 1999
S&P,A,Stable,May 08 1996
Moody's,A3,Stable,May 08 1996
