Agency,Rating,Outlook,Date
DBRS,A (high),Stable,Nov 29 2024
S&P,A-,Positive,Nov 08 2024
DBRS,A,Positive,May 31 2024
Moody's,Baa1,Positive,Mar 15 2024
S&P,A,Stable,Mar 18 2022
S&P,A,Negative,Sep 18 2020
DBRS,A,Stable,May 29 2020
DBRS,A,Positive,Sep 20 2019
S&P,A,Stable,Sep 20 2019
Moody's,Baa1,Stable,Apr 13 2018
DBRS,A,Stable,Apr 06 2018
S&P,A-,Positive,Mar 23 2018
S&P,BBB+,Positive,Mar 31 2017
DBRS,A (low),Stable,Apr 08 2016
Moody's,Baa2,Stable,Feb 19 2016
DBRS,A (low),Positive,Oct 09 2015
S&P,BBB+,Stable,Oct 02 2015
DBRS,A (low),Stable,Oct 10 2014
S&P,BBB,Stable,May 23 2014
Moody's,Baa2,Positive,Feb 21 2014
Moody's,Baa3,Stable,Dec 04 2013
S&P,BBB-,Stable,Nov 29 2013
Moody's,Baa3,Negative,Oct 16 2012
S&P,BBB-,Negative,Oct 10 2012
DBRS,A (low),Negative,Aug 08 2012
Moody's,Baa3,Negative Watch,Jun 13 2012
DBRS,A (high),Under Review,May 22 2012
DBRS,A (high),Negative,May 03 2012
S&P,BBB+,Negative,Apr 26 2012
Moody's,A3,Negative,Feb 13 2012
S&P,A,Negative,Jan 13 2012
DBRS,AA (low),Negative,Dec 08 2011
S&P,AA-,Negative Watch,Dec 05 2011
Moody's,A1,Negative,Oct 18 2011
S&P,AA-,Negative,Oct 13 2011
DBRS,AA,Negative,Aug 17 2011
Moody's,Aa2,Negative Watch,Jul 29 2011
Moody's,Aa2,Negative,Mar 10 2011
Moody's,Aa1,Negative Watch,Dec 15 2010
DBRS,AA,Stable,Oct 21 2010
Moody's,Aa1,Stable,Sep 30 2010
Moody's,Aaa,Negative Watch,Jun 30 2010
S&P,AA,Negative,Apr 28 2010
S&P,AA+,Negative,Dec 09 2009
S&P,AA+,Stable,Jan 19 2009
S&P,AAA,Negative Watch,Jan 12 2009
S&P,AAA,Stable,Dec 13 2004
S&P,AA+,Positive,Jul 30 2003
Moody's,Aaa,Stable,Dec 13 2001
Moody's,Aa2,Positive Watch,Sep 19 2001
S&P,AA+,Stable,Mar 31 1999
S&P,AA,Positive,May 06 1998
S&P,AA,Stable,Feb 06 1996
S&P,AA,Positive,Jun 26 1989
S&P,AA,N/A,Aug 01 1988
Moody's,Aa2,Stable,Feb 03 1988
