Agency,Rating,Outlook,Date
S&P,SD,N/A,Aug 02 2024
S&P,CC,Negative,Mar 08 2024
S&P,CCC,Negative,Apr 06 2023
Moody's,Ca,Stable,Feb 10 2023
S&P,CCC+,Stable,Aug 19 2022
S&P,SD,N/A,Aug 12 2022
S&P,CC,Negative,Jul 29 2022
S&P,CCC+,Negative,May 27 2022
Moody's,Caa3,Negative,May 20 2022
Moody's,Caa2,Under Review,Mar 04 2022
S&P,B-,Negative Watch,Feb 26 2022
Moody's,B3,Under Review,Feb 25 2022
Moody's,B3,Stable,Jun 12 2020
Moody's,Caa1,Positive,Nov 22 2019
S&P,B,Stable,Sep 27 2019
Moody's,Caa1,Stable,Dec 21 2018
Moody's,Caa2,Positive,Aug 25 2017
Moody's,Caa3,Stable,Nov 19 2015
S&P,B-,Stable,Oct 19 2015
S&P,SD,N/A,Sep 25 2015
S&P,CC,Negative,Apr 10 2015
Moody's,Ca,Negative,Mar 24 2015
S&P,CCC-,Negative,Dec 19 2014
S&P,CCC,Stable,Jul 11 2014
Moody's,Caa3,Negative,Apr 04 2014
S&P,CCC,Negative,Feb 21 2014
Moody's,Caa2,Negative,Jan 31 2014
S&P,CCC+,Negative,Jan 28 2014
S&P,B-,Stable,Dec 26 2013
S&P,B-,Negative,Nov 01 2013
Moody's,Caa1,Negative Watch,Sep 20 2013
S&P,B,Negative,Dec 07 2012
Moody's,B3,Negative,Dec 05 2012
S&P,B+,Negative,Mar 15 2012
Moody's,B2,Negative,Dec 15 2011
Moody's,B2,Stable,Oct 11 2010
S&P,B+,Stable,Jul 29 2010
S&P,B,Positive Watch,Jul 22 2010
S&P,B,Stable,May 17 2010
S&P,B-,Positive,Mar 11 2010
S&P,CCC+,Stable,Oct 30 2009
S&P,CCC+,Positive,Jul 31 2009
Moody's,B2,Negative,May 12 2009
S&P,CCC+,Negative,Feb 25 2009
Moody's,B1,Negative Watch,Feb 24 2009
S&P,B,Negative Watch,Feb 15 2009
S&P,B,Negative,Oct 24 2008
Moody's,B1,Stable,Oct 20 2008
S&P,B+,Negative Watch,Oct 15 2008
Moody's,B1,Positive,Aug 08 2008
S&P,B+,Stable,Jun 12 2008
Moody's,B1,Positive Watch,Mar 28 2008
S&P,BB-,Negative,Apr 05 2007
Moody's,B1,Positive,Nov 10 2006
S&P,BB-,Stable,May 11 2005
Moody's,B1,Stable,Feb 17 2005
Moody's,B1,Positive,Sep 08 2004
S&P,B+,Stable,Jul 20 2004
Moody's,B1,Stable,Nov 10 2003
S&P,B,Positive,Oct 28 2003
Moody's,B2,Positive Watch,Jul 28 2003
S&P,B,Stable,May 20 2003
S&P,B,Negative,Nov 12 2002
Moody's,B2,Stable,Jan 24 2002
S&P,B,Stable,Dec 21 2001
Moody's,Caa1,Positive,Nov 20 2001
Moody's,Caa1,Negative,Apr 19 2000
Moody's,Caa1,Negative Watch,Jan 05 2000
Moody's,B3,Negative,Sep 09 1998
Moody's,B2,Negative,Jul 13 1998
Moody's,B2,Stable,Feb 06 1998
