Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
netherlands,,,,,,,,,,,,,,,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21,21,21
albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,7,7,7,8,8,8,8,8,8,8,8,9
czech republic,,,,,,,,,,,,,,,,,,,,,,,,13,14,16,16,16,15,15,15,15,17,17,17,15,17,16,17,17,16,18,18,18,18,18,18,18,17,18,18,18,18,18,18
denmark,,,,,,,,,,,,21.0,21.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,10.0,8.0,6.0,6.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,7.0,6.0,2.0,1.0,1.0
italy,,,,,,,,,,,,,,,,,21,21,20,20,20,20,18,19,19,19,18,18,19,19,19,19,19,19,18,18,17,17,17,17,17,16,16,13,12,12,13,13,13,13,13,14,12,12,14
liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
romania,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,6,6,6,7,8,9,11,12,12,12,11,11,11,11,12,11,12,12,12,12,12,12,12,12,12,12,12
lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,15,15,15,15,15,16,16,16,16,16
slovakia,,,,,,,,,,,,,,,,,,,,,,,,,9,12,12,12,11,11,11,12,13,13,15,16,17,17,17,17,17,17,16,16,16,17,17,16,16,16,17,17,17,17,15
