Entry ID,Latitude,Longitude
1,54.9084,7.3468
2,56.4101,-6.6501
3,60.8834,17.8991
4,51.6007,3.3283
5,53.9601,1.54
6,53.6815,1.4207
7,55.9673,1.6679
8,57.9601,23.0201
9,57.9801,23.1501
10,58.0101,23.3901
11,51.3694,-4.5672
12,56.7895,3.7692
13,63.0084,6.6458
14,65.126,7.2323
15,55.7373,12.6515
16,62.3089,4.3551
17,56.6355,-1.9266
18,56.8296,5.721
19,56.8296,5.721
20,56.7326,20.948
21,53.2123,0.8616
22,52.137,2.1728
23,54.9609,18.339
24,62.7481,21.0168
25,62.6533,6.0791
26,70.2485,19.8476
27,52.6424,4.3471
29,68.4242,14.3127
30,56.885,11.2149
31,52.137,2.1728
32,50.1482,1.2728
36,54.901,-3.6201
39,54.3929,14.744
40,54.3929,14.744
41,54.9855,12.9965
42,51.609,-4.9365
43,61.3104,17.7758
44,53.719,5.9811
45,64.2603,10.1982
46,58.0882,-2.9502
47,54.7693,5.9722
48,53.454,-3.6266
50,54.81,12.57
52,40.0005,25.5178
53,49.8447,0.2986
54,54.4393,6.3327
55,48.6417,2.6807
56,46.9001,-2.5585
57,58.2401,21.601
58,40.0048,25.5469
60,47.2146,-2.2724
62,65.2682,24.6066
63,53.9665,6.5493
64,55.0648,17.8488
65,43.4741,15.5986
67,55.6825,7.7729
68,53.1175,0.6135
69,50.641,-0.1801
70,57.4127,16.8684
71,54.086,-5.634
72,56.5897,11.1827
75,42.583,17.5444
76,53.9851,-3.462
77,52.554,4.3374
78,52.6705,3.9456
79,54.78,14.12
80,54.9054,7.1813
81,54.8663,16.3316
82,54.552,15.3515
83,52.6878,4.2486
84,58.1101,23.3401
85,59.3208,23.546
88,51.7101,3.0001
89,51.6401,3.0701
91,51.5281,3.0158
92,52.6878,4.2486
95,51.881,2.0401
96,35.5226,27.1025
97,52.554,4.3374
98,54.834,14.068
102,52.4661,3.9651
103,62.8041,6.3646
104,63.1719,7.2042
106,52.5316,3.7829
107,54.49,7.7
108,51.4206,1.5927
109,54.444,7.682
110,54.016,6.983
112,52.2648,3.6519
113,55.0879,11.3805
115,53.1353,1.1479
116,57.9673,-2.7905
117,57.9673,-2.7905
118,57.9673,-2.7905
119,53.9741,6.4912
