Country/Area,Entry ID,Project Name,Phase Name,Only Phase,Capacity (MW),Installation Type,Status,Cancelled,Start year,Owner,Latitude,Longitude,Region,Wiki URL,Annual Wind Speed,Ocean Depth For Offshore,Inflation in Project Country
Germany,1,Hochtief wind farm,NSWP 4-7,0,2700,Offshore mount unknown,cancelled - inferred 4 y,1,2009,Enova International INC,54.9084,7.3468,Europe,https://www.gem.wiki/Hochtief_wind_farm,"",,
United Kingdom,2,Argyll Array wind farm,--,1,1800,Offshore mount unknown,cancelled,1,2012,ScottishPower Renewables,56.4101,-6.6501,Europe,https://www.gem.wiki/Argyll_Array_wind_farm,,,
Sweden,3,Finngrunden wind farm,--,1,1500,Offshore hard mount,cancelled,1,2009,WPD Europe GMBH,60.8834,17.8991,Europe,https://www.gem.wiki/Finngrunden_wind_farm,,,
Netherlands,4,Zeeuws offshore wind farm,--,1,1400,Offshore mount unknown,cancelled,1,2016,Co�peratie Zeeuwind; Delta NV; Zeeland Seaports; ZMF; Verbrugge International BV; Heerema Group,51.6007,3.3283,Europe,https://www.gem.wiki/Zeeuws_offshore_wind_farm,,,
United Kingdom,5,Hornsea wind farm,2,0,1300,Offshore hard mount,operating,0,2022,�rsted A/S ; Cr�dit Agricole Assurances ; AXA IM Alts,53.9601,1.5400,Europe,https://www.gem.wiki/Hornsea_wind_farm,,,
United Kingdom,6,Hornsea wind farm,1,0,1218,Offshore hard mount,operating,0,2019,�rsted A/S ; Octopus Renewables Infrastructure Trust PLC ; GLIL Infrastructure ; Global Infrastructure Partners,53.6815,1.4207,Europe,https://www.gem.wiki/Hornsea_wind_farm,,,
United Kingdom,7,Dogger Bank wind farm,A,0,1200,Offshore hard mount,operating,0,2023,V�rgr�nn AS ; SSE Renewables ; Equinor ASA,55.9673,1.6679,Europe,https://www.gem.wiki/Dogger_Bank_wind_farm,,,
Estonia,8,Saare Liivi wind farm,2,0,1200,Offshore mount unknown,cancelled - inferred 4 y,1,2021,Eesti Energia AS,57.9601,23.0201,Europe,https://www.gem.wiki/Saare_Liivi_wind_farm,,,
Estonia,9,Saare Liivi wind farm,3,0,1200,Offshore mount unknown,cancelled - inferred 4 y,1,2021,Eesti Energia AS,57.9801,23.1501,Europe,https://www.gem.wiki/Saare_Liivi_wind_farm,,,
Estonia,10,Saare Liivi wind farm,4,0,1200,Offshore mount unknown,cancelled - inferred 4 y,1,2021,Eesti Energia AS,58.0101,23.3901,Europe,https://www.gem.wiki/Saare_Liivi_wind_farm,,,
United Kingdom,11,Atlantic Array wind farm,--,1,1200,Offshore hard mount,cancelled,1,2013,RWE Renewables,51.3694,-4.5672,Europe,https://www.gem.wiki/Atlantic_Array_wind_farm,,,
Norway,12,Idunn wind farm,--,1,1200,Offshore hard mount,cancelled,1,2008,Fred Olsen Renewables AB,56.7895,3.7692,Europe,https://www.gem.wiki/Idunn_wind_farm,,,
Norway,13,Morevind wind farm,--,1,1200,Offshore hard mount,cancelled,1,2008,Tr�nderEnergi Kraft AS,63.0084,6.6458,Europe,https://www.gem.wiki/Morevind_wind_farm,,,
Norway,14,Aegir (Fred Olsen) wind farm,--,1,1200,Offshore hard mount,cancelled - inferred 4 y,1,2008,Fred Olsen Renewables AB,65.1260,7.2323,Europe,https://www.gem.wiki/Aegir_(Fred_Olsen)_wind_farm,,,
Denmark,15,Vikinge Banke offshore wind farm,--,1,1140,Offshore mount unknown,cancelled,1,2022,�rsted A/S; Copenhagen Infrastructure Partners,55.7373,12.6515,Europe,https://www.gem.wiki/Vikinge_Banke_offshore_wind_farm,,,
Norway,16,Stadvind (Offshore) wind farm,--,1,1080,Offshore hard mount,cancelled - inferred 4 y,1,2007,Renantis UK Ltd,62.3089,4.3551,Europe,https://www.gem.wiki/Stadvind_(Offshore)_wind_farm,,,
United Kingdom,17,Seagreen offshore wind farm,1,0,1075,Offshore hard mount,operating,0,2022,TotalEnergies SE ; SSE Renewables,56.6355,-1.9266,Europe,https://www.gem.wiki/Seagreen_offshore_wind_farm,,,
Norway,18,Sorlige Nordsjoen wind farm,--,1,1000,Offshore hard mount,cancelled,1,2013,Lyse Produksjon AS,56.8296,5.7210,Europe,https://www.gem.wiki/Sorlige_Nordsjoen_wind_farm,,,
Norway,19,Aegir (Oceanwind) wind farm,--,1,1000,Offshore hard mount,cancelled - inferred 4 y,1,2008,Oceanwind AS,56.8296,5.7210,Europe,https://www.gem.wiki/Aegir_(Oceanwind)_wind_farm,,,
Latvia,20,JK Energy wind farm,--,1,900,Offshore mount unknown,cancelled - inferred 4 y,1,2009,JK Energy,56.7326,20.9480,Europe,https://www.gem.wiki/JK_Energy_wind_farm,,,
United Kingdom,21,Triton Knoll wind farm,--,1,857,Offshore hard mount,operating,0,2022,Electric Power Development CO LTD (J-POWER) ; Kansai Electric Power Co ; RWE AG,53.2123,0.8616,Europe,https://www.gem.wiki/Triton_Knoll_wind_farm,,,
United Kingdom,22,East Anglia wind farm,EA1,0,800,Offshore hard mount,operating,0,2020,Green Investment Group (GIG) ; ScottishPower Renewables,52.1370,2.1728,Europe,https://www.gem.wiki/East_Anglia_wind_farm,,,
Poland,23,License Application No. 73 Offshore wind farm,--,1,800,Offshore hard mount,cancelled,1,2019,Vattenfall AB,54.9609,18.3390,Europe,https://www.gem.wiki/License_Application_No._73_Offshore_wind_farm,,,
Finland,24,Korsn�sin wind farm,--,1,800,Offshore hard mount,cancelled - inferred 4 y,1,2013,Mets�hallitus,62.7481,21.0168,Europe,https://www.gem.wiki/Korsn�sin_wind_farm,,,
Norway,25,Havsul wind farm,2,0,800,Offshore hard mount,cancelled,1,2008,Havgul Nordic AS,62.6533,6.0791,Europe,https://www.gem.wiki/Havsul_wind_farm,,,
Norway,26,Vannoya wind farm,--,1,775,Offshore hard mount,cancelled - inferred 4 y,1,2009,Troms Kraft Produksjon AS,70.2485,19.8476,Europe,https://www.gem.wiki/Vannoya_wind_farm,,,
Netherlands,27,Hollandse Kust Noord offshore wind farm,--,1,759,Offshore hard mount,operating,0,2023,Shell PLC; Eneco,52.6424,4.3471,Europe,https://www.gem.wiki/Hollandse_Kust_Noord_offshore_wind_farm,,,
Norway,28,Nordkyn wind farm,--,1,750,Onshore,cancelled - inferred 4 y,1,2011,Statkraft AS,71.0114,27.6745,Europe,https://www.gem.wiki/Nordkyn_wind_farm,,,
Norway,29,Lofoten Havkraft wind farm,--,1,750,Offshore hard mount,cancelled - inferred 4 y,1,2008,Lofotkraft Vind,68.4242,14.3127,Europe,https://www.gem.wiki/Lofoten_Havkraft_wind_farm,,,
Denmark,30,Tre� M�llebugt Offshore wind farm,--,1,720,Offshore mount unknown,cancelled,1,2019,Wind Estate A/S,56.8850,11.2149,Europe,https://www.gem.wiki/Tre�_M�llebugt_Offshore_wind_farm,,,
