Entry ID,Latitude,Longitude
38,41.1535,22.8541
96,35.5226,27.1025
114,36.8462,25.9082
127,38.6050,24.1887
157,38.0776,24.0793
158,39.8311,19.4384
189,39.8804,19.4359
199,39.9955,25.5252
249,39.7563,19.5774
269,38.0701,24.5846
440,39.5402,25.0687
449,40.4474,25.6101
450,39.8365,19.5021
526,39.7174,21.2552
531,36.1154,27.8120
628,40.7839,23.7363
674,41.2601,25.4901
707,40.0531,20.4892
722,41.2996,24.6374
723,39.7223,21.4095
724,39.0210,22.7136
763,38.6284,22.5578
817,38.1667,24.2891
1061,38.9798,21.6408
1098,41.2862,25.8094
1103,36.2637,22.9326
1193,38.7129,21.8815
1195,39.3982,21.5310
1197,39.1681,21.6812
1198,39.6032,21.3273
1223,40.8901,25.7505
1226,37.6247,24.7155
1227,39.4324,21.3024
1228,35.2633,24.2143
1229,41.2679,25.5730
1276,40.2663,22.1809
1277,39.5936,21.2383
1319,38.6345,23.3010
1348,37.9868,24.5084
1349,41.2465,25.5424
1350,41.2423,25.4070
1351,36.1591,27.7085
1352,36.3045,22.9884
1353,39.2288,21.6535
1354,38.4796,22.4060
1355,39.3563,21.6412
1418,41.2472,25.7908
1531,41.1579,26.0763
1537,40.7097,21.5448
1538,40.7314,21.5615
1539,38.4640,22.8420
1574,41.2391,25.5227
1575,39.0884,21.7129
1644,39.8246,21.2013
1645,39.8040,21.2289
1646,39.1083,21.9070
1652,39.1779,21.8666
1653,39.1660,21.8984
1688,41.3174,24.6422
1689,39.9670,20.4638
1690,41.2321,25.4808
1691,38.1878,23.3438
1692,39.1924,21.8302
1823,41.2665,25.8155
1826,41.2689,25.8169
1827,36.2120,22.9429
1828,36.2999,22.9342
1833,39.1594,21.7174
1901,41.1861,25.4947
1902,40.9446,25.9360
1903,39.3222,21.5679
1904,38.3120,22.7344
1905,41.1731,25.5051
1916,38.6284,21.1028
1917,41.2592,23.8759
1977,39.0514,21.6430
1978,40.5755,21.2462
1979,40.0160,21.0926
1980,40.6093,21.9626
2060,39.0498,22.6942
2061,38.5280,21.0535
2062,41.2816,25.9210
2100,39.0585,22.6075
2103,35.1077,26.1737
2104,36.5376,23.1206
2105,37.0874,22.6858
2106,38.3117,22.7347
2107,40.3344,21.9937
2263,35.0805,25.6206
2272,38.1277,24.4662
2273,38.3863,22.6029
2274,39.1372,21.6954
2275,38.4577,23.1860
2276,39.0612,21.6525
2277,39.0465,21.5699
2337,40.3036,22.0093
2338,40.8867,26.0739
2339,40.8730,26.0783
2343,40.4367,21.5685
2431,38.5853,21.0694
2432,38.5622,21.0444
2433,38.6461,21.0125
2499,41.2316,25.0773
2500,38.4155,21.6855
2501,38.0437,22.9385
2502,39.3985,21.4794
2618,37.7010,24.9345
2622,41.2093,25.4582
2623,39.4824,20.3530
2624,41.2137,25.8524
2625,38.5710,21.0558
2626,41.2066,25.4234
2631,38.8009,21.1524
2732,39.1566,21.7430
2733,38.5144,21.8556
2908,38.7567,22.0536
2910,41.1969,25.8130
2912,41.1677,23.3368
3002,38.5446,22.9008
3006,38.3615,21.6466
3007,40.1626,21.9740
3014,39.5877,21.4390
3015,38.6359,21.0731
3016,39.3524,21.4894
3017,41.3671,23.5164
3018,38.9986,22.4478
3019,38.8638,21.6657
3020,41.0502,22.4586
3167,38.0038,24.5266
3168,38.1301,24.4550
3169,40.6226,22.0031
3170,38.3038,23.0521
3285,41.2614,25.9036
3288,38.3687,21.6846
3289,35.0971,25.7289
3301,41.2956,23.3402
3302,41.2640,23.9108
3303,39.4977,20.3309
3613,34.9806,25.1080
3624,38.3552,23.0079
3625,38.9993,21.7520
3626,40.9808,26.1126
3627,40.1773,22.2222
3628,38.5538,21.8328
3629,38.1810,23.3168
3630,39.9588,21.7892
3631,38.3570,22.9833
3632,40.9857,25.5157
3633,38.2157,23.6054
3634,40.7646,21.7490
3635,38.1886,23.3210
3896,39.6329,21.3947
3900,41.2057,25.6585
4036,39.2845,21.4528
4037,38.1160,24.4510
4038,39.1187,21.8491
4046,38.6872,21.0294
4055,34.9944,24.8326
4056,35.3809,23.6992
4057,35.2782,24.1577
4058,35.1057,26.1127
4059,35.2706,23.5841
4066,38.9055,21.6212
4067,40.3428,21.1382
4252,39.7192,21.1179
4260,38.3252,22.7849
4261,38.1606,21.9630
4262,41.2658,25.7347
4263,41.1684,25.5379
4264,39.6883,21.0906
4265,41.2584,25.7923
4468,38.6051,22.9732
4493,41.0915,22.0394
4494,39.1428,21.7592
4760,38.0049,24.4951
4761,38.1015,24.3212
4762,39.3445,21.5679
4763,39.0023,22.7880
4776,41.1256,25.8504
4790,38.3847,23.1938
4926,41.2479,25.7036
4927,39.1287,21.9086
4928,41.1214,22.6880
4929,39.3901,20.3085
4951,37.8238,21.9258
4952,41.2908,25.6759
4953,38.1294,24.5504
5526,41.2060,23.3263
5527,37.9712,24.7586
5528,35.1722,25.1789
5529,38.0771,21.8666
5677,38.3438,20.4292
5678,41.2526,25.5961
5711,39.9588,21.7892
5712,39.3223,21.4611
