Entry ID,Longitude,Latitude,Average Wind Speed
320,43.7189,17.3911,4.472608696
612,41.7226,23.1634,6.861304348
629,23.1634,41.7226,2.930434783
725,4.1823,50.3235,6.666956522
761,-7.9352,54.6869,7.957826087
791,25.4857,42.6074,4.134782609
838,14.9277,53.8062,7.274347826
1040,14.6659,37.6506,5.014782609
1053,-1.383,41.736,6.21173913
1054,-1.417,41.714,6.21173913
1055,4.4338,48.7488,6.033043478
1096,-1.0101,41.077,6.154347826
1171,0.4093,41.1201,5.881363636
1192,1.5915,41.1925,4.919565217
1222,4.1423,48.6101,6.033043478
1280,24.6859,45.9852,4.080434783
1314,4.4269,48.8349,6.040869565
1416,17.545,51.1252,6.192727273
1449,27.1065,43.5508,5.73173913
1528,15.7908,41.0456,5.513478261
1530,-4.9701,41.8101,5.679130435
1638,3.5243,49.8243,6.510869565
1641,-3.6382,42.2526,6.195652174
1642,-1.058,41.551,6.21173913
1681,-4.9177,37.0474,4.856086957
1682,3.9891,48.5085,6.05173913
1693,23.1634,41.7226,2.930434783
1772,14.9722,41.3933,5.594347826
1775,-2.2871,41.5626,5.90173913
1834,24.6859,45.9852,4.080434783
1835,-7.5676,42.7646,3.98826087
1897,13.5746,37.3123,5.244782609
1900,21.6119,61.5584,4.895217391
1965,3.1928,43.8053,5.64173913
1981,24.6859,45.9852,4.080434783
2054,10.5402,52.1642,6.468181818
2108,18.5498,53.3396,6.553478261
2245,11.4408,53.4941,6.82173913
2246,8.7437,40.7838,5.817826087
2253,-1.421,41.819,5.97173913
2256,-3.4601,43.1001,5.683913043
2261,0.8883,41.1419,5.890434783
2333,1.9434,49.7921,6.895454545
2418,13.625,42.0822,3.55
2422,-2.4701,37.3401,4.624347826
2494,14.2723,37.7516,4.738695652
2498,4.4365,48.8247,6.040869565
2503,25.6546,41.4731,5.536818182
2504,25.6546,41.4731,5.536818182
2612,15.0161,41.8165,5.442608696
2613,-2.3808,39.6591,5.789565217
2619,2.1762,43.3787,5.769130435
2717,9.1982,39.5371,5.665217391
2718,14.9258,41.3174,5.584090909
2895,15.1472,41.3201,5.594347826
2896,16.1446,40.3944,5.110434783
2899,16.9285,53.3521,6.743478261
2900,-2.674,39.0661,5.848695652
2901,-0.9562,40.3209,6.014347826
2902,-6.0518,42.7238,4.573478261
2903,-4.4936,54.8956,8.08173913
2996,14.2965,37.8801,4.738695652
2999,-1.016,41.091,6.154347826
3000,-2.4354,41.1723,5.926086957
3147,2.0839,47.0512,6.058695652
3153,-6.2307,36.6866,6.261363636
3279,3.5271,50.017,6.510869565
3283,-1.396,41.834,5.97173913
3532,-2.6883,37.1538,4.675217391
3534,21.375,54.0766,6.602608696
3535,12.6743,42.6384,4.071304348
3536,15.2853,41.2142,4.852608696
3540,10.0002,52.3506,6.712608696
3603,20.8804,53.019,6.410434783
3622,-0.9113,43.2275,4.006521739
3623,1.9428,48.395,6.356956522
3636,5.6095,50.7584,6.676521739
3867,-3.5962,42.2869,6.195652174
3868,-5.9447,36.3149,6.282173913
3871,-3.8982,42.2769,6.195652174
3876,14.9791,41.3673,5.605909091
3877,15.0627,41.2947,5.594347826
3883,-0.6427,45.9633,6.349130435
3888,5.781,50.0536,6.412608696
3889,33.1,45.33,6.465652174
3898,5.8813,49.7984,6.412608696
4032,3.0079,50.3969,6.729130435
4034,3.8268,51.1757,6.796956522
4035,-9.2045,43.153,6.787391304
4242,15.1685,41.2578,5.594347826
4244,15.9246,40.5166,4.151304348
4266,3.1003,49.9157,6.548695652
4452,-1.7753,42.1007,5.869130435
4453,21.0245,52.9127,6.375217391
4455,18.0534,40.096,6.360869565
4457,14.8721,41.5805,5.594347826
4458,15.0579,41.3584,5.594347826
4460,15.3788,41.0804,5.513478261
4461,14.9938,41.2712,5.594347826
4462,15.7176,40.7551,5.513478261
4471,2.2603,43.3334,6.10826087
4489,1.46,49.8801,7.344347826
4492,2.8159,50.3616,6.729130435
4495,4.6232,50.5923,6.666956522
4741,-3.5179,36.7507,4.194782609
4742,-1.7228,38.9186,5.749130435
4744,1.3745,41.5536,4.762173913
4746,20.0426,52.2278,6.396521739
4749,15.0997,41.0113,4.852608696
4752,10.2597,52.1612,6.573478261
4755,1.9552,48.2115,6.24
4757,4.3618,50.0418,6.472608696
4758,5.1262,50.7048,6.63173913
4759,4.8881,51.1794,6.65826087
4788,-1.7153,42.6591,5.434545455
4789,2.5527,49.4349,6.444347826
4914,-3.601,42.8401,5.683913043
4945,2.0087,46.955,6.054545455
4954,13.9841,56.0187,6.97173913
4955,4.9438,52.7838,8.255217391
5491,-1.5016,39.0531,5.564347826
5492,-5.8025,36.163,6.139130435
5494,1.2194,41.4995,4.762173913
5495,-5.713,36.1267,6.139130435
5499,8.0531,44.1783,4.123043478
5502,8.648,53.3979,7.146521739
5503,4.3778,49.556,6.154782609
5504,2.1311,48.2136,6.24
5506,5.7123,45.1891,3.703478261
5508,0.5604,48.898,6.743043478
5512,1.9727,49.679,6.570869565
5513,2.2871,49.655,6.444347826
5514,1.9542,47.182,6.058695652
5516,4.297,51.3632,6.962173913
5545,-5.5633,42.5892,5.299565217
5670,-8.7897,42.1388,4.61173913
5671,16.7997,40.6295,5.661304348
5672,14.3034,41.7872,4.348695652
5673,10.2597,52.1612,6.573478261
5679,-1.0273,46.6906,6.62
6155,-1.024,41.264,6.21173913
6158,28.3828,44.7203,5.724782609
6159,27.608,44.9166,5.490869565
6161,3.6128,51.3727,7.322608696
6163,13.6633,42.0767,3.55
6164,12.6743,42.6384,4.071304348
6165,13.7952,37.8102,4.907391304
6166,15.3212,40.9949,5.513478261
6167,10.2624,52.1743,6.573478261
6170,4.0491,49.6724,6.219565217
6171,5.264,48.0403,5.989130435
6173,2.2065,48.1733,6.133478261
6176,0.3361,46.149,6.256521739
6177,1.8991,49.7868,6.880869565
6178,2.2251,50.2975,6.9004347836179.0,1.8919,48.2206,6.24
6180.0,4.3795,50.044,6.472608695652174
6181.0,3.7314,50.4092,6.693043478260869
