Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Latitude,Longitude,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating
Germany,1,1,2700,Offshore hard mount,1,2009,Enova International INC,54.9084,7.3468,7413008400,8.933333333,60.56,24.47,0.312738299,0.419552684,-5.545164538,71.71568,21
United Kingdom,2,0,1800,Offshore hard mount,1,2012,ScottishPower Renewables,56.4101,-6.6501,4801659900,9.543333333,10.99,73.75,2.564104319,2.724234581,1.508998374,84.4826,21
Sweden,3,0,1500,Offshore hard mount,1,2009,WPD,60.8834,17.8991,3970543000,6.563333333,25.16,24.76,-0.49445942,0,-4.255573743,40.9476,21
Netherlands,4,0,1400,Offshore hard mount,1,2016,Cooperatie Zeeuwind; Delta NV; Zeeland Seaports; ZMF; Verbrugge International BV; Heerema Group,51.6007,3.3283,3646961500,7.963333333,10.05,14.4,0.316665649,0.598285437,2.424285765,60.8827,21
United Kingdom,5,1,1300,Offshore hard mount,0,2022,Orsted ; Credit Agricole Assurances ; AXA,53.9601,1.5400,3787111033,8.41,99.22,36.08,7.9,46.66091283,4.839085147,100.4323,18
United Kingdom,6,1,1218,Offshore hard mount,0,2019,Orsted ; Octopus ; GLIL Infrastructure ; Global Infrastructure Partners,53.6815,1.4207,3420232102,8.603333333,83.02,25.31,1.791000009,2.081448078,1.624475159,85.65751,19
United Kingdom,7,1,1200,Offshore hard mount,0,2023,Vargronn AS ; Scottish and Southern Energy (SSE) ; Equinor ASA,55.9673,1.6679,3859554200,9.27,208.13,97.66,6.793967068,8.10650006,0.339966158,101.1471,18
Estonia,8,1,1200,Offshore hard mount,1,2021,Eesti Energia AS,57.9601,23.0201,3157563400,8.116666667,19.51,28.08,4.653167,18.43826,7.154447483,17.5946,18
Estonia,9,1,1200,Offshore hard mount,1,2021,Eesti Energia AS,57.9801,23.1501,3152052400,8.116666667,17.86,31.37,4.653167,18.43826,7.154447483,17.5946,18
Estonia,10,1,1200,Offshore hard mount,1,2021,Eesti Energia AS,58.0101,23.3901,3239817200,8.116666667,22.58,35.39,4.653167,18.43826,7.154447483,17.5946,18
United Kingdom,11,0,1200,Offshore hard mount,1,2013,RWE,51.3694,-4.5672,3231367000,8.06,20.05,43.44,2.291663408,2.352421284,1.799921494,85.31606,20
Norway,12,0,1200,Offshore hard mount,1,2008,Fred Olsen Renewables AB,56.7895,3.7692,3903107800,9.223333333,221.17,57.69,3.753922939,6.826536655,0.481919541,47.54502,21
Norway,13,0,1200,Offshore hard mount,1,2008,TronderEnergi Kraft AS,63.0084,6.6458,3200204800,6.306666667,10.72,94.98,3.753922939,6.826536655,0.481919541,47.54502,21
Norway,14,0,1200,Offshore hard mount,1,2008,Fred Olsen Renewables AB,65.1260,7.2323,3481499600,9.223333333,94.94,289.66,3.753922939,6.826536655,0.481919541,47.54502,21
Denmark,15,0,1140,Offshore hard mount,1,2022,Orsted; Copenhagen Infrastructure Partners,55.7373,12.6515,2943999080,7.35,1.96,9.78,7.696567,41.56489397,1.540173107,29.69815,21
Norway,16,0,1080,Offshore hard mount,1,2007,Renantis UK Ltd,62.3089,4.3551,2970033660,9.39,40.61,183.99,0.712596357,-0.869917691,2.914039986,49.51508,21
United Kingdom,17,1,1075,Offshore hard mount,0,2022,TotalEnergies ; Scottish and Southern Energy (SSE),56.6355,-1.9266,2924507579,8.355,29.99,50.88,7.9,46.66091283,4.839085147,100.4323,18
Norway,18,0,1000,Offshore hard mount,1,2013,Lyse Produksjon AS,56.8296,5.7210,3049239500,9.453333333,148.11,37.66,2.120480061,5.294428825,1.016190824,31.42718,21
Norway,19,0,1000,Offshore hard mount,1,2008,Oceanwind AS,56.8296,5.7210,3049239500,9.306666667,148.11,37.66,3.753922939,6.826536655,0.481919541,47.54502,21
Latvia,20,0,900,Offshore hard mount,1,2009,JK Energy,56.7326,20.9480,2336484300,7.36,6.86,16.6,3.534107208,8.227454185,-16.04001892,32.40769,14
United Kingdom,21,0,857,Offshore hard mount,0,2022,Electric Power Development CO LTD (J-POWER) ; Kansai Electric Power Co ; RWE AG,53.2123,0.8616,2270054023,7.465,25.81,10.34,7.9,46.66091283,4.839085147,100.4323,18
United Kingdom,22,1,800,Offshore hard mount,0,2020,Green Investment Group (GIG) ; ScottishPower Renewables,52.1370,2.1728,2194213333,8.483333333,38,37.99,0.989486704,0.876648565,-10.29691887,105.8001,20
Poland,23,0,800,Offshore hard mount,1,2019,Vattenfall AB,54.9609,18.3390,2092884667,7.963333333,14.05,31.77,2.308000088,-0.383333296,4.580458173,45.70788,15
Finland,24,0,800,Offshore hard mount,1,2013,Metsahallitus,62.7481,21.0168,2065652533,5.453333333,1.82,5.12,1.478294015,0.339855283,-0.979741028,59.86275,21
Norway,25,1,800,Offshore hard mount,1,2008,Havgul Nordic AS,62.6533,6.0791,2116814400,5.573333333,3.24,36.22,3.753922939,6.826536655,0.481919541,47.54502,21
Norway,26,0,775,Offshore hard mount,1,2009,Troms Kraft Produksjon AS,70.2485,19.8476,2046975338,5.43,1.53,63.37,2.197387218,1.805326462,-1.940364695,42.54396,21
Netherlands,27,0,759,Offshore hard mount,0,2023,Shell PLC; Eneco,52.6424,4.3471,1995088552,8.27,18.53,19.45,3.838393543,-22.05954498,0.074560722,45.02355,21
Norway,28,0,750,Onshore,1,2011,Statkraft AS,71.0114,27.6745,1019250000,7.956666667,N/A,N/A,1.284952641,0.927414358,1.105656027,29.61085,21
Norway,29,0,750,Offshore hard mount,1,2008,Lofotkraft Vind,68.4242,14.3127,1988959875,7.293333333,5.37,45.79,3.753922939,6.826536655,0.481919541,47.54502,21
Denmark,30,0,720,Offshore hard mount,1,2019,Wind Estate A/S,56.8850,11.2149,1907544000,7.81,26,11.81,0.728999972,-0.291685313,1.711400944,33.7917,21
United Kingdom,31,1,714,Offshore hard mount,0,2020,ScottishPower Renewables,52.1370,2.1728,1958335400,8.483333333,38,37.99,0.989486704,0.876648565,-10.29691887,105.8001,20
France,32,0,705,Offshore hard mount,1,2012,La Compagnie du Vent,50.1482,1.2728,1839448988,7.35,11.55,11.1,1.954202652,3.398922443,0.183835271,91.71756,20
Estonia,33,1,700,Offshore hard mount,1,2014,Baltic Blue Energy OU,58.7498,22.0140,1837664617,7.93,17.33,29.12,-0.106180392,-1.426195145,3.322787536,10.45833,18
United Kingdom,34,0,700,Onshore,1,2008,Scottish and Southern Energy (SSE),54.7024,-3.2766,951300000,7.96,N/A,N/A,3.481384993,4.696794987,-0.248797298,50.82737,21
Norway,35,0,682,Onshore,0,2024,Norsk Vind AS,60.8574,5.7661,926838000,4.85,N/A,N/A,5.517849871,-3.925183016,0.479647246,44.00372,21
United Kingdom,36,1,659,Offshore hard mount,0,2018,Orsted ; PFA Pension ; PKA,54.087,-3.737,1751582021,7.683333333,29.08,29.5,2.32,1.855871797,1.405190266,86.34547,19
Sweden,37,1,650,Onshore,0,2020,Green Investment Group (GIG); General Electric Co,65.3544,20.9832,883350000,4.373333333,N/A,N/A,0.497367319,-0.12742566,-2.005337504,40.31189,21
Greece,38,0,632.7,Onshore,1,?,Sakel Technike LLC,41.1535,22.8541,859839300,,N/A,N/A,,,,,
