Company Name,Occurrences
Iberdrola,244
EDP,190
Acciona,188
WPD,168
Enel,161
Engie,143
EDF,137
Ventient Energy,99
RWE AG,91
ABO Wind,72
Naturgy,69
Statkraft AS,65
RWE,63
EnBW,63
Terna Energy,63
Scottish and Southern Energy (SSE),62
Vattenfall AB,62
ERG,57
Boralex,57
PNE AG,56
Allianz SE,51
Energiequelle GmbH,44
Greencoat,42
other,42
Orsted,41
E.ON,41
ScottishPower Renewables,40
Renewable Energy Systems (RES),40
Finerge SA,40
Ostwind,39
Renantis UK Ltd,38
NOTUS Energy,38
Eneco,35
European Energy A/S,35
Energiekontor,32
Denker & Wulf AG,31
Enertrag LTD,30
Fred Olsen Renewables AB,28
CEE,27
Encavis AG,26
Total Quadran,26
E2I Energie Speciali SRL,25
WindStrom,24
Eolia Renovables SA (EOLIASUR),24
BayWa R.E. AG,23
UKA Group,23
Saeta Yield SA,23
Valorem,23
ESB Group,22
VSB,22
Rokas Renewables,21
Neoen,21
PGE Energia Odnawialna SA,21
Med Wind,21
Burgerwind,21
Energieteam,21
TronderEnergi Kraft AS,20
Web Windenergie AG,20
Renewables Infrastructure Group LTD (TRIG),19
TTR Energy,19
WestWind Energy PTY LTD,19
Community Windpower,18
Fortum,18
Energie Burgenland,18
Alerion,18
Volkswind GmbH,18
Mirova Eurofideme,18
Juwi GmbH,18
Stadtwerke Munchen GmbH,17
Aquila Capital,17
Trustenergy SA,17
Ellaktor SA,17
Viesgo Renovables SL,17
ACS Group,17
EVN,17
Octopus,16
PUSPOK Group,16
Kallista Energy,16
Elawan Energy SL,16
Wind Estate A/S,15
PROKON,15
Aspiravi,15
Fomentos de Construcciones y Contratas (FCC),15
Siemens,14
Glennmont Partners,14
KGAL Group,14
Banks Renewables,14
Fri-El SPA,14
BKW AG,14
IKEA,14
Rabbalshede Kraft AB,14
Geo MBH,14
CNR,14
Stena Renewables Energy AB,13
Windkraft Simonsfeld AG,13
Community Ownership,13
Innergex Renewable Energy,13
Enerfin Resources CO,13
Fortore Energia SPA,13
JP Energie Environnement,13
Eurowatt Services,13
Capital Energy,12
Ilmatar,12
Taaleri Energia Funds Management OY,12
Polenergia SA,12
OX2 AB,12
Exilion Tuuli Ky,12
Grupo SAMCA,12
Invenergy LLC,12
CEF,12
Eolfi,12
DunoAir,12
Boreas,12
Copenhagen Infrastructure Partners,11
Arise AB,11
Compagnie Nationale du Rhone (CNR),11
TAURON Polska Energia SA,11
Grupo Jorge,11
Inversiones Empresariales Vapat SL,11
Desjardins Group Pension Plan,11
Elicio,11
EOS Holdings,11
IVPC Group,11
GLIL Infrastructure,10
TotalEnergies,10
Equitix LTD,10
Sunly Energy,10
Repsol SA,10
Zephyr AS,10
Verbund,10
NTR plc,10
Eurus Energy,10
Eurowind Energy A/S,10
Copelouzos Group,10
Enefit Green,10
CPC Germania GmbH & Co KG,10
MVV Energie AG,10
enercity AG,10
URIEL Renewables INC,10
K Sarras & CO LLC,10
MBBF Group,10
La Compagnie du Vent,9
Luxcara GMBH,9
Niata Wind SA,9
Jasper Energy Hellas,9
JSC VetroOGK,9
BlackRock,9
Energia,9
ORLEN Group SA,9
PLT Energia SRL,9
JPEE,9
Theolia SA,9
Puhuri Oy,9
Inergia SPA,9
Grupo Enhol,9
Exus Partners,9
Norvento,9
Grupo Ibereolica Renovables,9
GLS Beteiligung AG,9
An Avel Braz,9
Futuren,9
Statskog SF,8
ProWind GMBH,8
Private Owners,8
Nordisk Vindkraft,8
EPV Energia Oy,8
DTEK,8
Enerco Energy,8
Endesa SA,8
Audax Renovables,8
Eolus Vind AB,8
H2Air,8
CVA SPA,8
Pure Energy,8
NEAG Norddeutsche Energie AG,8
Blue Elephant Energy AG (BEE),8
Lyse Produksjon AS,7
Green Investment Group (GIG),7
Norsk Vind AS,7
Prime Capital AG,7
Vardar,7
Novenergia,7
Gazprombank,7
Israel Infrastructure Fund,7
F2i SGR,7
Suomen Hyotytuuli Oy,7
Energa,7
Guild Investments LTD,7
Gaelectric Developments Ltd,7
Eren Hellas,7
Wien Energie Vertrieb GMBH & CO KG,7
Renvico Holding,7
Energiepark Bruck/Leitha GMBH,7
InnoVent Group,7
JLEN Environmental Assets Group,7
GetProject,7
IWB Industrielle Werke Basel AG,7
AXA,6
Troms Kraft Produksjon AS,6
Enlight Renewable Energy,6
Energy Infrastructure Partners (EIP),6
NUON,6
Nord-Norsk Vindkraft AS,6
Finnmark Kraft AS,6
Macquarie Capital,6
Renewable Power Capital,6
Akuo Energy,6
Coillte,6
Skelleftea Kraft AB,6
EWZ,6
China General Nuclear Power Group (CGN),6
Greenalia SA,6
CEZ Group,6
Cerebus Capital Management LP,6
ImWind,6
Wind Prospect PTY LTD,6
Astakos,6
Wind Parks of Ukraine LLC,6
Groupe VALECO,6
EuroCape New Energy,6
Primus Energie GMBH,6
EKZ Renewables AG,6
Equinor ASA,5
Havgul Nordic AS,5
Masdar,5
INPEX Corp,5
Diamond Generating,5
Nordic Wind Power DA,5
SUSI Partners AG,5
Ostfold Energi,5
Vindkraft Nord AS,5
Gigawatti Oy,5
Mirova,5
Eolica Dobrogea,5
Cloudberry Clean Energy ASA,5
Volterra SA,5
Bord na Mona PLC,5
Svevind AB,5
Ventinveste Eolica SGPS SA,5
Alpiq,5
Energix Renewable Energies,5
Tozzi Sud SPA,5
EVV Renewable Energy,5
UAB Ignitis Renewables,5
Elektrizitatswerk Der Stadt Zurich (EWZ),5
Moncada Energy Group,5
Blue Energy,5
Wind-Projekt,5
Aldesa Group,5
Eufer,5
Spider Energy SA,5
Onex Renewables,5
ContourGlobal,5
Skovgaard Invest APS,5
Intrakat,5
Enercon,5
Zikos Energy Construction Single Member Private Company,5
Regenerative & Rationelle Energietechnik GmbH,5
DISA Group,5
Public Power Corporation of Greece (PPC),5
Wind Prospect Developments LTD,5
Repower,5
HOFOR AS,5
Leonidas Associates,5
Siroco Capital SCR SA,5
Ventis,5
Ingenieurburo,5
Aream & CO,5
WIND1 A/S,5
Societe Luxembourgeoise des Energies Renouvelables SA (Soler),5
LHI Group,5
Marine Energy Test Centre,5
Kansai Electric Power Co,4
Baltic Blue Energy OU,4
Sumitomo Corp,4
A.S.R. Real Estate,4
Vasa Vind,4
Pontegadea Inversiones SL,4
CPC Finland Oy,4
Havgul Clean Energy AS,4
Element Power,4
John Laing Group PLC,4
Amazon,4
Munich RE AG,4
Green Repower,4
Samaras,4
DIF Capital Partners,4
Generg,4
Commerz Real AG,4
NEK Umwelttechnik AG,4
Breeze Energy,4
Nordex,4
Renovalia Energy Group,4
Enerco,4
Helia Renovables,4
European Wind Farms Greece LLC,4
ICQ Holding SPA,4
Solvind Prosjekt AS,4
Energaas Renovables del Bierzo (ERBI),4
Alfanar Group,4
GE Power,4
Windunie,4
Epharmoyes Pyritium SA,4
GRSRE Wind Project Single Member SA,4
Eolica de Navarra SL,4
National Energy Holdings,4
Thuga Erneuerbare Energien GMBH & CO KG,4
Brookfield Renewable Partners LP,4
ENEOP,4
GEG ENeR,4
Okoenergie Beteiligungs GMBH,4
EFI Wind GMBH,4
Enerfrance,4
WKN GmbH,4
E&S Group,4
Talanx Group,4
EcoJoule Energy,4
Enova International INC,3
Cooperatie Zeeuwind,3
Eesti Energia AS,3
Shell PLC,3
Lofotkraft Vind,3
Red Rock Power LTD,3
Norsk Miljokraft AS,3
BASF SE,3
Nuveen Infrastructure,3
Vestas,3
Varanger Kraft AS,3
Mitsubishi UFJ Lease & Finance Co Ltd,3
China Three Gorges Corp,3
Kyon LLC,3
Octopus Group Ltd,3
Continental Wind Partners,3
Parkwind NV,3
Ulvig Kiaer AS,3
C-Power,3
